date,open,high,low,close,volume,source
2025-02-27,342.8,356.0,342.8,356.0,20210.0,backfill_api
2025-03-02,348.9,377.0,348.9,373.3,50801.0,backfill_api
2025-03-03,365.9,370.9,360.0,363.5,55804.0,backfill_api
2025-03-04,356.3,364.0,353.0,354.9,57749.0,backfill_api
2025-03-05,352.2,355.4,349.3,353.0,24914.0,backfill_api
2025-03-06,350.0,353.0,347.5,351.0,27512.0,backfill_api
2025-03-09,348.1,364.0,344.0,364.0,35038.0,backfill_api
2025-03-10,356.8,356.8,344.0,350.0,30694.0,backfill_api
2025-03-11,355.9,355.9,342.2,342.9,15924.0,backfill_api
2025-03-12,343.0,347.0,340.0,341.5,12572.0,backfill_api
2025-03-16,340.0,341.0,335.0,335.0,23793.0,backfill_api
2025-03-17,333.0,340.0,333.0,333.3,8579.0,backfill_api
2025-03-18,333.2,338.0,333.0,333.2,7139.0,backfill_api
2025-03-19,333.5,336.0,330.2,330.7,10508.0,backfill_api
2025-03-20,329.0,335.0,329.0,330.93,9053.0,backfill_api
2025-03-23,331.0,331.0,324.0,324.24,15433.0,backfill_api
2025-03-24,330.0,330.0,322.0,325.3,9424.0,backfill_api
2025-03-25,322.0,325.0,312.6,313.21,26589.0,backfill_api
2025-03-26,311.0,320.0,311.0,317.9,6130.0,backfill_api
2025-03-27,317.9,326.3,315.0,325.69,8275.0,backfill_api
2025-03-30,320.3,341.0,320.2,328.46,21809.0,backfill_api
2025-04-01,325.2,330.0,310.0,318.82,59075.0,backfill_api
2025-04-02,315.0,324.0,315.0,322.55,15062.0,backfill_api
2025-04-03,319.0,333.0,319.0,321.99,14539.0,backfill_api
2025-04-07,327.0,327.0,318.2,321.19,8308.0,backfill_api
2025-04-08,316.2,325.0,316.0,323.05,7166.0,backfill_api
2025-04-09,328.9,328.9,318.1,319.15,4614.0,backfill_api
2025-04-10,318.0,323.0,318.0,320.53,2400.0,backfill_api
2025-04-13,320.0,326.0,319.6,319.97,4350.0,backfill_api
2025-04-15,315.0,325.3,315.0,324.77,12305.0,backfill_api
2025-04-16,327.0,345.0,321.0,335.47,45503.0,backfill_api
2025-04-17,340.0,341.0,333.5,333.7,21665.0,backfill_api
2025-04-20,332.0,334.0,325.6,327.45,9272.0,backfill_api
2025-04-21,323.5,333.9,323.5,329.85,29014.0,backfill_api
2025-04-22,334.9,334.9,325.0,325.71,21761.0,backfill_api
2025-04-23,323.2,326.0,323.0,323.33,5920.0,backfill_api
2025-04-24,321.0,328.2,320.1,326.74,13016.0,backfill_api
2025-04-27,325.2,333.0,325.1,328.69,14393.0,backfill_api
2025-04-28,335.0,336.6,325.0,325.21,28359.0,backfill_api
2025-04-29,327.0,336.0,322.0,328.5,27426.0,backfill_api
2025-04-30,325.0,334.7,325.0,327.33,32141.0,backfill_api
2025-05-04,328.0,333.0,325.0,326.1,16109.0,backfill_api
2025-05-05,325.6,328.8,323.4,324.43,9173.0,backfill_api
2025-05-06,323.0,327.0,323.0,323.84,10584.0,backfill_api
2025-05-07,330.1,344.6,326.0,340.69,75617.0,backfill_api
2025-05-08,344.9,344.9,333.9,337.76,31126.0,backfill_api
2025-05-11,343.5,343.5,327.7,330.04,22252.0,backfill_api
2025-05-13,336.6,336.6,325.0,325.85,18240.0,backfill_api
2025-05-14,330.0,330.0,320.0,320.23,20611.0,backfill_api
2025-05-15,321.0,321.0,318.0,319.84,14854.0,backfill_api
2025-05-18,317.0,323.0,316.1,317.73,7200.0,backfill_api
2025-05-19,320.0,323.0,314.0,317.93,10815.0,backfill_api
2025-05-20,314.1,326.0,314.1,324.72,7140.0,backfill_api
