date,open,high,low,close,volume,source
2025-02-27,849.0,865.0,835.0,840.0,18153.0,backfill_api
2025-03-02,850.0,882.0,845.0,858.9,18696.0,backfill_api
2025-03-03,875.8,875.8,856.0,870.0,27223.0,backfill_api
2025-03-04,852.6,875.0,852.6,866.9,20043.0,backfill_api
2025-03-05,866.8,866.9,840.0,847.0,26196.0,backfill_api
2025-03-06,849.0,859.9,843.0,846.0,7489.0,backfill_api
2025-03-09,859.0,859.0,828.5,842.0,15403.0,backfill_api
2025-03-10,826.0,851.0,826.0,831.2,16926.0,backfill_api
2025-03-11,831.2,834.0,822.5,825.0,13174.0,backfill_api
2025-03-12,815.0,825.0,815.0,821.0,8763.0,backfill_api
2025-03-16,830.0,830.0,815.0,819.9,9851.0,backfill_api
2025-03-17,825.0,825.0,818.0,818.0,17251.0,backfill_api
2025-03-18,801.7,825.0,801.7,812.3,24531.0,backfill_api
2025-03-19,801.1,816.9,801.1,809.0,9093.0,backfill_api
2025-03-20,809.0,815.0,805.5,806.67,10443.0,backfill_api
2025-03-23,790.6,809.0,790.6,794.08,29400.0,backfill_api
2025-03-24,787.1,799.9,781.1,797.03,7102.0,backfill_api
2025-03-25,791.0,797.3,781.0,782.47,19230.0,backfill_api
2025-03-26,782.0,796.0,782.0,785.09,12537.0,backfill_api
2025-03-27,799.9,799.9,788.1,795.8,7081.0,backfill_api
2025-03-30,811.7,811.7,796.0,798.29,21984.0,backfill_api
2025-04-01,811.0,811.0,798.0,798.61,19291.0,backfill_api
2025-04-02,809.9,809.9,797.0,800.47,7591.0,backfill_api
2025-04-03,815.0,815.0,795.0,797.92,12387.0,backfill_api
2025-04-07,797.92,800.0,788.0,788.34,17401.0,backfill_api
2025-04-08,781.1,794.9,781.1,788.89,10814.0,backfill_api
2025-04-09,799.0,804.4,791.1,797.53,3194.0,backfill_api
2025-04-10,805.0,805.0,795.0,798.94,12488.0,backfill_api
2025-04-13,790.0,813.0,790.0,799.62,6629.0,backfill_api
2025-04-15,799.0,809.0,798.0,800.04,6813.0,backfill_api
2025-04-16,805.0,813.0,795.4,798.8,17567.0,backfill_api
2025-04-17,810.0,810.0,796.2,806.93,11287.0,backfill_api
2025-04-20,810.0,818.9,806.0,806.56,5909.0,backfill_api
2025-04-21,810.0,813.0,790.5,810.39,17992.0,backfill_api
2025-04-22,815.0,825.0,812.0,812.72,13754.0,backfill_api
2025-04-23,812.72,817.0,797.0,797.36,7931.0,backfill_api
2025-04-24,810.0,810.0,790.0,790.26,12407.0,backfill_api
2025-04-27,791.0,804.0,790.1,792.45,10218.0,backfill_api
2025-04-28,793.0,799.0,784.0,785.21,18378.0,backfill_api
2025-04-29,785.21,790.0,785.0,786.15,11762.0,backfill_api
2025-04-30,786.1,798.5,781.1,782.24,8858.0,backfill_api
2025-05-04,793.0,793.0,782.2,782.75,7858.0,backfill_api
2025-05-05,797.0,809.9,783.0,787.01,8044.0,backfill_api
2025-05-06,802.0,802.0,780.2,785.27,22008.0,backfill_api
2025-05-07,786.0,808.8,781.0,802.87,15789.0,backfill_api
2025-05-08,796.0,805.0,791.0,799.85,17451.0,backfill_api
2025-05-11,787.0,801.0,787.0,799.66,8064.0,backfill_api
2025-05-13,814.0,814.0,792.1,792.89,9668.0,backfill_api
2025-05-14,800.0,807.7,787.0,791.55,4869.0,backfill_api
2025-05-15,795.0,801.0,791.0,797.99,33896.0,backfill_api
2025-05-18,809.0,809.0,794.0,799.69,37911.0,backfill_api
2025-05-19,807.5,807.5,794.0,795.64,8005.0,backfill_api
2025-05-20,787.6,807.9,787.6,802.25,14826.0,backfill_api
2025-05-21,815.0,823.0,797.2,800.11,18664.0,backfill_api
2025-05-22,814.0,815.5,796.1,811.31,25077.0,backfill_api
2025-05-25,827.5,827.5,810.5,817.27,24475.0,backfill_api
2025-05-26,833.6,833.6,807.1,807.91,18417.0,backfill_api
2025-05-27,807.0,810.0,796.2,801.95,6551.0,backfill_api
2025-05-28,805.0,809.9,797.0,801.67,11317.0,backfill_api
2025-06-02,802.0,815.9,800.0,802.81,16389.0,backfill_api
2025-06-03,800.2,803.0,800.0,800.16,19084.0,backfill_api
2025-06-04,800.16,800.16,791.1,795.56,9458.0,backfill_api
2025-06-05,792.0,806.8,792.0,792.24,7638.0,backfill_api
2025-06-08,792.24,799.6,785.3,789.9,15136.0,backfill_api
2025-06-09,786.0,794.9,785.0,790.38,7637.0,backfill_api
2025-06-10,788.0,800.0,788.0,793.4,10355.0,backfill_api
2025-06-11,800.7,800.7,793.4,795.53,13512.0,backfill_api
2025-06-12,804.9,804.9,795.2,795.57,16351.0,backfill_api
2025-06-15,805.0,808.9,790.3,793.74,14628.0,backfill_api
2025-06-16,795.0,873.0,785.0,796.85,20302.0,backfill_api
2025-06-17,809.0,809.9,790.0,790.41,26875.0,backfill_api
2025-06-18,805.0,805.0,789.0,790.28,19368.0,backfill_api
2025-06-19,785.6,799.8,785.6,787.57,14602.0,backfill_api
2025-06-22,784.1,796.0,781.1,782.93,17105.0,backfill_api
2025-06-23,785.0,789.9,780.0,784.29,16102.0,backfill_api
2025-06-24,794.9,794.9,785.0,786.92,9891.0,backfill_api
2025-06-25,795.0,795.0,781.0,785.33,7340.0,backfill_api
2025-06-26,785.0,791.0,785.0,787.3,7798.0,backfill_api
2025-06-29,789.0,800.0,788.1,794.92,9180.0,backfill_api
2025-06-30,810.0,810.0,795.0,800.34,10127.0,backfill_api
2025-07-01,800.0,810.0,800.0,806.77,17434.0,backfill_api
2025-07-02,815.0,819.0,806.0,810.13,24282.0,backfill_api
2025-07-03,817.0,817.0,805.1,810.08,11608.0,backfill_api
