date,open,high,low,close,volume,source
2025-02-24,1040.3,1142.0,1021.0,1073.0,5620.0,backfill_api
2025-02-25,1094.0,1094.0,1061.2,1071.1,2345.0,backfill_api
2025-02-27,1072.0,1081.8,1055.0,1081.8,1325.0,backfill_api
2025-03-02,1075.0,1085.0,1060.2,1067.8,3255.0,backfill_api
2025-03-03,1089.1,1130.0,1047.0,1069.0,5506.0,backfill_api
2025-03-04,1050.0,1065.0,1050.0,1050.0,2277.0,backfill_api
2025-03-05,1065.0,1065.0,1044.0,1050.0,1090.0,backfill_api
2025-03-06,1050.1,1055.0,1040.0,1047.0,1480.0,backfill_api
2025-03-09,1027.0,1049.0,1007.0,1021.5,3481.0,backfill_api
2025-03-10,1002.5,1080.0,1002.5,1011.0,2256.0,backfill_api
2025-03-11,1010.0,1040.0,992.0,1019.9,1880.0,backfill_api
2025-03-12,1010.0,1020.0,999.6,1009.0,2695.0,backfill_api
2025-03-16,991.3,1065.0,991.3,1009.0,3045.0,backfill_api
2025-03-17,1009.9,1015.0,995.0,1007.8,1705.0,backfill_api
2025-03-18,988.0,1026.0,988.0,998.0,1879.0,backfill_api
2025-03-19,979.8,1036.0,979.8,985.2,1963.0,backfill_api
2025-03-20,1004.0,1024.0,985.1,1000.4,670.0,backfill_api
2025-03-23,990.0,990.0,950.6,956.01,2898.0,backfill_api
2025-03-24,960.0,983.0,952.0,973.05,1330.0,backfill_api
2025-03-25,960.0,960.0,916.1,921.63,3530.0,backfill_api
2025-03-26,939.0,939.0,900.0,926.73,2605.0,backfill_api
2025-03-27,945.0,959.0,900.0,934.2,2708.0,backfill_api
2025-03-30,952.0,952.0,920.0,935.67,2248.0,backfill_api
2025-04-01,918.0,936.0,918.0,925.77,2775.0,backfill_api
2025-04-02,919.1,938.5,919.1,929.2,490.0,backfill_api
2025-04-03,935.0,943.0,922.0,933.71,2434.0,backfill_api
2025-04-07,952.0,1007.0,922.2,933.68,2615.0,backfill_api
2025-04-08,930.0,933.0,920.0,924.52,460.0,backfill_api
2025-04-09,932.0,942.0,915.1,922.44,1675.0,backfill_api
2025-04-10,939.9,939.9,921.2,923.37,938.0,backfill_api
2025-04-13,923.3,942.0,906.1,925.17,4197.0,backfill_api
2025-04-15,942.0,943.0,907.5,927.15,663.0,backfill_api
2025-04-16,920.0,938.3,920.0,934.32,1240.0,backfill_api
2025-04-17,950.0,968.0,949.0,954.31,1550.0,backfill_api
2025-04-20,973.0,975.0,914.0,920.38,1538.0,backfill_api
2025-04-21,919.0,943.5,919.0,930.0,268.0,backfill_api
2025-04-22,947.5,1002.0,915.1,952.0,2995.0,backfill_api
2025-04-23,970.0,970.0,917.0,920.85,2305.0,backfill_api
2025-04-24,911.0,927.0,867.5,890.59,4709.0,backfill_api
2025-04-27,908.4,908.4,873.0,893.37,3101.0,backfill_api
2025-04-28,910.0,910.0,876.0,881.59,795.0,backfill_api
2025-04-29,899.0,916.0,870.0,899.0,880.0,backfill_api
2025-04-30,914.0,914.0,878.1,893.12,1977.0,backfill_api
2025-05-04,910.0,949.0,860.1,873.5,2483.0,backfill_api
2025-05-05,873.5,880.0,860.0,862.12,1166.0,backfill_api
2025-05-06,865.0,872.0,860.0,862.69,656.0,backfill_api
2025-05-07,860.0,879.9,856.0,869.1,1473.0,backfill_api
2025-05-08,886.0,920.9,851.0,873.46,1688.0,backfill_api
2025-05-11,874.0,877.0,862.0,870.06,1155.0,backfill_api
2025-05-13,865.0,892.8,861.1,861.1,1078.0,backfill_api
2025-05-14,878.0,894.0,857.0,857.12,1297.0,backfill_api
2025-05-15,874.0,908.0,856.0,856.9,1238.0,backfill_api
2025-05-18,856.0,867.0,845.0,846.01,1032.0,backfill_api
2025-05-19,860.0,894.0,860.0,890.0,2512.0,backfill_api
2025-05-20,889.0,953.0,847.1,905.94,2551.0,backfill_api
2025-05-21,924.0,979.2,882.1,892.72,1298.0,backfill_api
2025-05-22,876.0,889.0,872.0,872.0,734.0,backfill_api
2025-05-25,870.0,870.0,856.0,858.08,1040.0,backfill_api
2025-05-26,875.0,925.0,870.7,870.7,560.0,backfill_api
2025-05-27,860.0,861.0,853.6,855.06,1416.0,backfill_api
2025-05-28,855.0,871.0,853.6,864.0,970.0,backfill_api
2025-06-02,871.0,888.4,840.1,841.15,984.0,backfill_api
2025-06-03,842.0,845.0,841.0,841.26,850.0,backfill_api
2025-06-04,835.0,911.0,835.0,903.0,891.0,backfill_api
2025-06-05,903.0,919.0,865.1,870.9,101.0,backfill_api
2025-06-08,882.0,882.0,831.1,851.22,1086.0,backfill_api
2025-06-09,836.1,860.0,836.1,854.66,220.0,backfill_api
2025-06-10,870.0,870.0,855.0,862.6,673.0,backfill_api
2025-06-11,861.0,874.0,851.0,851.54,644.0,backfill_api
2025-06-12,862.0,868.5,853.0,860.45,1068.0,backfill_api
2025-06-15,849.0,865.8,844.3,850.0,1577.0,backfill_api
2025-06-16,833.3,861.8,833.3,858.0,760.0,backfill_api
2025-06-17,850.0,850.0,830.0,840.0,4816.0,backfill_api
2025-06-18,835.0,847.0,835.0,839.33,510.0,backfill_api
2025-06-19,840.1,840.1,823.2,826.9,1723.0,backfill_api
2025-06-22,820.0,820.0,813.0,814.94,1097.0,backfill_api
2025-06-23,831.0,896.0,814.0,821.5,1009.0,backfill_api
2025-06-24,830.1,837.9,811.0,815.14,514.0,backfill_api
2025-06-25,814.0,825.0,808.0,808.84,261.0,backfill_api
2025-06-26,800.0,840.0,800.0,826.78,514.0,backfill_api
2025-06-29,815.0,842.0,810.5,811.0,293.0,backfill_api
2025-06-30,827.0,843.5,820.0,820.01,467.0,backfill_api
2025-07-01,810.1,851.9,810.1,825.1,1430.0,backfill_api
2025-07-02,816.0,845.0,816.0,835.0,930.0,backfill_api
2025-07-03,851.7,871.9,838.0,846.8,1656.0,backfill_api
2025-07-06,846.0,900.6,790.0,879.9,11004.0,backfill_api
2025-07-07,891.9,891.9,853.6,865.0,1450.0,backfill_api
2025-07-08,882.2,882.2,848.0,873.53,378.0,backfill_api
2025-07-09,888.0,888.0,851.1,863.18,7899.0,backfill_api
2025-07-10,879.9,890.0,845.5,863.88,2744.0,backfill_api
2025-07-13,864.0,915.0,857.1,866.0,856.0,backfill_api
2025-07-14,882.0,882.0,850.1,851.85,580.0,backfill_api
2025-07-15,835.5,868.8,835.5,860.35,328.0,backfill_api
2025-07-16,877.0,894.0,861.0,871.07,5916.0,backfill_api
2025-07-17,879.0,958.1,875.2,918.78,2858.0,backfill_api
2025-07-20,937.0,953.0,902.0,904.07,3510.0,backfill_api
2025-07-21,900.0,900.0,883.0,894.1,1423.0,backfill_api
2025-07-22,911.0,947.0,876.3,910.03,4432.0,backfill_api
2025-07-23,911.0,929.2,897.0,899.52,2590.0,backfill_api
2025-07-24,882.6,918.0,882.6,910.05,1338.0,backfill_api
2025-07-27,900.0,925.0,900.0,901.1,1912.0,backfill_api
2025-07-28,901.0,918.0,869.0,913.83,3865.0,backfill_api
2025-07-29,932.0,932.0,906.0,910.11,3287.0,backfill_api
2025-07-30,910.0,927.5,905.0,906.16,4216.0,backfill_api
2025-07-31,907.0,919.0,891.1,902.23,2607.0,backfill_api
2025-08-03,886.0,920.2,886.0,892.67,1412.0,backfill_api
2025-08-04,905.0,905.0,875.0,879.23,1694.0,backfill_api
2025-08-05,879.0,897.0,871.0,888.51,919.0,backfill_api
2025-08-06,871.6,888.5,871.6,888.3,793.0,backfill_api
2025-08-07,871.0,892.0,871.0,882.41,2452.0,backfill_api
2025-08-11,900.0,936.0,870.1,876.05,1136.0,backfill_api
2025-08-12,893.0,893.0,826.0,863.32,6123.0,backfill_api
2025-08-13,855.0,865.0,849.0,849.25,590.0,backfill_api
2025-08-14,866.2,889.5,850.0,863.48,2244.0,backfill_api
2025-08-17,880.6,895.0,860.0,870.0,3330.0,backfill_api
2025-08-18,854.1,880.0,854.0,879.78,1478.0,backfill_api
2025-08-19,880.1,885.0,860.2,878.45,2156.0,backfill_api
2025-08-20,884.9,900.0,871.2,897.19,4655.0,backfill_api
2025-08-21,885.0,910.0,885.0,898.97,553.0,backfill_api
2025-08-24,882.5,909.9,882.5,894.8,2964.0,backfill_api
2025-08-25,900.0,900.0,882.3,885.25,316.0,backfill_api
2025-08-26,885.0,939.3,885.0,917.26,4392.0,backfill_api
2025-08-27,910.0,929.0,905.0,911.17,1870.0,backfill_api
2025-08-28,906.0,906.0,882.0,896.91,1246.0,backfill_api
2025-08-31,880.1,881.2,875.0,878.75,946.0,backfill_api
2025-09-01,861.2,890.0,861.2,875.79,960.0,backfill_api
2025-09-02,859.0,889.9,852.4,863.11,1451.0,backfill_api
2025-09-03,880.0,890.0,862.0,863.7,1317.0,backfill_api
2025-09-04,860.0,861.0,847.3,847.3,568.0,backfill_api
2025-09-07,835.0,865.0,800.1,832.05,1101.0,backfill_api
2025-09-08,848.0,877.0,816.0,816.11,1699.0,backfill_api
2025-09-21,831.0,849.0,790.1,824.0,3264.0,backfill_api
2025-09-23,840.0,889.0,840.0,889.0,4572.0,backfill_api
2025-09-24,894.0,897.6,869.9,895.9,1242.0,backfill_api
2025-09-25,910.0,910.0,856.6,889.8,166.0,backfill_api
2025-09-28,900.0,900.0,871.0,889.7,1861.0,backfill_api
2025-10-07,872.0,872.0,824.0,850.0,1169.0,backfill_api
2025-10-08,833.0,834.8,820.0,834.8,468.0,backfill_api
2025-10-09,851.4,859.0,818.2,834.0,940.0,backfill_api
2025-10-12,823.0,830.0,813.4,825.0,610.0,backfill_api
2025-10-13,834.0,841.5,777.3,806.0,542.0,backfill_api
2025-10-14,790.0,845.0,790.0,845.0,612.0,backfill_api
2025-10-16,828.1,843.6,786.2,825.0,1290.0,backfill_api
2025-10-19,840.0,841.4,776.6,823.2,555.0,backfill_api
2025-10-26,806.8,806.8,763.0,787.9,615.0,backfill_api
2025-10-28,775.0,802.9,746.3,795.0,4720.0,backfill_api
2025-10-29,779.1,784.9,765.0,770.0,1911.0,backfill_api
2025-10-30,785.4,799.9,770.0,776.0,806.0,backfill_api
2025-11-02,790.0,805.0,776.0,786.1,3166.0,backfill_api
2025-11-03,786.0,799.9,770.0,784.0,1512.0,backfill_api
