date,open,high,low,close,volume,source
2025-02-27,680.0,693.0,665.0,668.0,119282.0,backfill_api
2025-03-02,668.0,679.9,651.9,655.0,107516.0,backfill_api
2025-03-03,655.0,669.0,647.9,651.0,109201.0,backfill_api
2025-03-04,641.0,662.9,641.0,648.0,80340.0,backfill_api
2025-03-05,650.0,707.0,645.0,690.0,457070.0,backfill_api
2025-03-06,693.7,735.0,680.0,701.0,187367.0,backfill_api
2025-03-09,695.0,695.0,662.0,664.0,153727.0,backfill_api
2025-03-10,650.9,711.9,650.9,677.9,216084.0,backfill_api
2025-03-11,670.0,680.0,658.0,665.0,73464.0,backfill_api
2025-03-12,666.0,673.0,642.2,647.0,87668.0,backfill_api
2025-03-16,647.0,676.0,637.7,645.0,58640.0,backfill_api
2025-03-17,640.1,659.9,628.0,628.0,50415.0,backfill_api
2025-03-18,640.5,640.5,615.1,619.1,36381.0,backfill_api
2025-03-19,625.0,627.0,605.2,615.0,41939.0,backfill_api
2025-03-20,605.0,621.0,605.0,607.57,37459.0,backfill_api
2025-03-23,600.1,612.1,585.5,587.84,57249.0,backfill_api
2025-03-24,579.3,599.9,579.3,593.92,31807.0,backfill_api
2025-03-25,605.7,605.7,565.1,566.53,32584.0,backfill_api
2025-03-26,577.0,599.7,555.0,585.64,36132.0,backfill_api
2025-03-27,574.1,596.0,574.1,592.59,26537.0,backfill_api
2025-03-30,585.0,610.0,581.0,592.54,44815.0,backfill_api
2025-04-01,604.3,604.3,580.0,581.0,29866.0,backfill_api
2025-04-02,581.0,604.9,580.1,598.97,76426.0,backfill_api
2025-04-03,593.2,606.0,593.1,593.81,43361.0,backfill_api
2025-04-07,586.0,592.9,575.0,575.43,64695.0,backfill_api
2025-04-08,575.0,580.0,561.0,571.2,32560.0,backfill_api
2025-04-09,567.0,580.0,567.0,570.94,33003.0,backfill_api
2025-04-10,566.0,579.0,566.0,568.89,27660.0,backfill_api
2025-04-13,568.0,572.0,557.5,558.8,45388.0,backfill_api
2025-04-15,560.0,579.9,558.1,572.08,40025.0,backfill_api
2025-04-16,580.0,583.0,566.0,579.41,24084.0,backfill_api
2025-04-17,579.4,599.9,573.1,589.2,70877.0,backfill_api
2025-04-20,600.0,600.0,571.2,576.17,23932.0,backfill_api
2025-04-21,571.09,577.0,563.0,565.7,35944.0,backfill_api
2025-04-22,556.0,574.0,556.0,559.93,32612.0,backfill_api
2025-04-23,558.0,560.5,544.0,547.18,40051.0,backfill_api
2025-04-24,542.0,555.5,533.1,546.15,27380.0,backfill_api
2025-04-27,539.0,557.0,532.0,534.66,29187.0,backfill_api
2025-04-28,535.0,558.0,533.0,537.04,22333.0,backfill_api
2025-04-29,540.0,546.9,527.0,529.89,25251.0,backfill_api
2025-04-30,527.0,540.0,526.5,527.74,30292.0,backfill_api
2025-05-04,530.0,540.0,526.0,526.96,21191.0,backfill_api
2025-05-05,527.0,536.8,520.0,523.02,9939.0,backfill_api
2025-05-06,533.4,533.4,520.0,522.9,25160.0,backfill_api
2025-05-07,529.0,547.0,520.2,543.92,54426.0,backfill_api
2025-05-08,554.7,554.7,530.0,537.37,24418.0,backfill_api
2025-05-11,548.1,548.1,523.6,526.73,21395.0,backfill_api
2025-05-13,537.2,537.2,514.0,519.78,23995.0,backfill_api
2025-05-14,515.0,528.0,502.9,505.19,29747.0,backfill_api
2025-05-15,507.0,514.0,500.1,503.56,22280.0,backfill_api
2025-05-18,511.0,512.0,500.0,503.53,10490.0,backfill_api
2025-05-19,513.0,513.0,498.0,502.92,9438.0,backfill_api
2025-05-20,511.5,530.0,488.3,523.1,24529.0,backfill_api
2025-05-21,533.5,543.9,510.0,512.26,20569.0,backfill_api
2025-05-22,514.0,518.1,497.1,504.58,16333.0,backfill_api
2025-05-25,504.6,513.0,496.3,498.7,14445.0,backfill_api
2025-05-26,507.0,517.0,498.0,501.52,26035.0,backfill_api
2025-05-27,491.5,511.0,491.5,500.89,8888.0,backfill_api
2025-05-28,510.9,519.5,505.6,517.79,19837.0,backfill_api
2025-06-02,528.0,528.0,505.0,506.49,17031.0,backfill_api
2025-06-03,516.5,516.5,498.0,501.88,35836.0,backfill_api
2025-06-04,494.3,506.9,487.1,498.46,19046.0,backfill_api
2025-06-05,499.0,507.5,490.2,497.7,25959.0,backfill_api
2025-06-08,498.0,506.6,498.0,500.99,13820.0,backfill_api
2025-06-09,511.0,518.0,501.0,515.91,23340.0,backfill_api
2025-06-10,525.0,557.9,518.1,538.82,105103.0,backfill_api
2025-06-11,549.5,575.0,530.0,565.64,95905.0,backfill_api
2025-06-12,560.0,573.2,544.0,545.96,38791.0,backfill_api
2025-06-15,552.0,557.0,538.0,540.38,41977.0,backfill_api
2025-06-16,551.0,556.8,530.2,536.82,39019.0,backfill_api
2025-06-17,530.0,547.0,530.0,543.86,18392.0,backfill_api
2025-06-18,546.0,551.0,535.7,541.49,46708.0,backfill_api
2025-06-19,541.0,562.0,536.5,536.81,44734.0,backfill_api
2025-06-22,547.0,547.0,517.6,519.69,20075.0,backfill_api
2025-06-23,530.0,534.3,510.5,517.83,24999.0,backfill_api
2025-06-24,528.1,538.6,516.0,516.54,12325.0,backfill_api
2025-06-25,511.5,524.2,511.0,521.21,12555.0,backfill_api
2025-06-26,525.0,532.0,520.0,521.36,37631.0,backfill_api
2025-06-29,521.0,538.0,521.0,534.5,23073.0,backfill_api
2025-06-30,525.1,554.5,525.1,530.05,12581.0,backfill_api
2025-07-01,530.0,535.0,525.1,528.91,11477.0,backfill_api
2025-07-02,534.9,547.8,529.0,533.25,20556.0,backfill_api
2025-07-03,522.6,545.0,522.6,528.61,25462.0,backfill_api
2025-07-06,538.9,538.9,520.0,520.52,22248.0,backfill_api
2025-07-07,530.9,540.0,515.5,517.56,11309.0,backfill_api
2025-07-08,512.2,525.0,512.2,520.94,5748.0,backfill_api
2025-07-09,512.2,535.0,510.6,530.18,7816.0,backfill_api
2025-07-10,524.0,534.0,524.0,530.41,12885.0,backfill_api
2025-07-13,535.0,547.9,525.0,529.9,16532.0,backfill_api
2025-07-14,529.9,529.9,516.0,521.41,24682.0,backfill_api
2025-07-15,515.0,532.0,515.0,528.21,8573.0,backfill_api
2025-07-16,538.0,541.8,529.0,532.46,20522.0,backfill_api
2025-07-17,540.0,555.9,540.0,553.44,38025.0,backfill_api
2025-07-20,563.0,573.9,550.2,560.77,61481.0,backfill_api
2025-07-21,570.0,574.7,555.1,566.34,34357.0,backfill_api
2025-07-22,577.0,605.0,565.5,601.61,82142.0,backfill_api
2025-07-23,602.0,607.0,585.0,597.71,53978.0,backfill_api
2025-07-24,597.7,619.1,590.3,608.35,91203.0,backfill_api
2025-07-27,619.0,656.9,607.1,644.84,205229.0,backfill_api
2025-07-28,633.1,647.0,618.0,640.82,112801.0,backfill_api
2025-07-29,650.0,679.3,630.1,644.19,140839.0,backfill_api
2025-07-30,635.0,659.9,633.0,637.59,156187.0,backfill_api
2025-07-31,635.0,649.0,619.0,622.08,121519.0,backfill_api
2025-08-03,623.0,627.0,605.0,608.07,61258.0,backfill_api
2025-08-04,604.0,653.0,604.0,634.7,117582.0,backfill_api
2025-08-05,632.0,644.0,610.0,615.89,35814.0,backfill_api
2025-08-06,615.0,622.0,606.5,608.31,26952.0,backfill_api
2025-08-07,609.0,627.9,605.0,608.47,77067.0,backfill_api
2025-08-11,608.0,618.0,588.1,595.62,72646.0,backfill_api
2025-08-12,583.8,600.0,579.0,580.41,28601.0,backfill_api
2025-08-13,570.1,590.0,570.1,578.58,17509.0,backfill_api
2025-08-14,573.3,591.6,573.3,578.33,31833.0,backfill_api
2025-08-17,574.0,591.0,565.0,565.6,38106.0,backfill_api
2025-08-18,555.0,581.4,555.0,569.59,27931.0,backfill_api
2025-08-19,560.0,580.0,560.0,567.19,27598.0,backfill_api
2025-08-20,578.5,596.7,568.4,588.98,55520.0,backfill_api
2025-08-21,577.5,596.0,577.5,580.63,17408.0,backfill_api
2025-08-24,575.9,580.0,568.6,570.54,23520.0,backfill_api
2025-08-25,569.0,580.0,569.0,573.4,6742.0,backfill_api
2025-08-26,562.0,581.0,562.0,567.17,6102.0,backfill_api
2025-08-27,567.0,585.0,564.2,582.91,15366.0,backfill_api
2025-08-28,580.0,589.0,572.0,572.17,14907.0,backfill_api
2025-08-31,572.0,580.0,550.0,554.25,23038.0,backfill_api
2025-09-01,544.0,565.8,544.0,560.91,8082.0,backfill_api
2025-09-02,565.0,571.9,547.0,549.09,28058.0,backfill_api
2025-09-03,550.0,552.0,545.0,545.96,7028.0,backfill_api
2025-09-04,539.0,545.0,535.0,543.77,10833.0,backfill_api
2025-09-07,544.0,555.9,537.6,546.1,7873.0,backfill_api
2025-09-08,537.0,547.0,535.0,537.22,13576.0,backfill_api
2025-09-18,526.5,526.5,526.5,526.5,100.0,backfill_api
2025-09-21,516.0,544.0,513.0,530.69,43584.0,backfill_api
2025-09-23,530.0,554.0,526.0,548.0,12913.0,backfill_api
2025-09-24,537.1,580.0,526.4,560.0,31425.0,backfill_api
2025-09-25,560.0,570.0,553.0,559.0,17176.0,backfill_api
2025-09-28,560.0,566.0,556.0,563.0,9667.0,backfill_api
2025-10-07,551.8,551.8,530.2,538.0,18127.0,backfill_api
2025-10-08,529.2,534.0,507.0,519.0,10598.0,backfill_api
2025-10-09,529.0,539.5,520.1,523.0,17334.0,backfill_api
2025-10-12,530.0,534.9,490.0,494.0,12316.0,backfill_api
2025-10-13,495.0,520.2,494.0,517.0,15357.0,backfill_api
2025-10-14,508.0,511.7,498.0,507.0,10986.0,backfill_api
2025-10-15,500.0,546.0,490.0,490.0,31022.0,backfill_api
2025-10-16,483.0,500.0,483.0,489.0,2175.0,backfill_api
2025-10-19,480.0,505.0,480.0,492.6,5679.0,backfill_api
2025-10-26,483.1,500.0,480.0,494.0,2231.0,backfill_api
2025-10-28,495.0,515.0,495.0,500.0,17041.0,backfill_api
