date,open,high,low,close,volume,source
2025-02-27,721.0,727.0,710.0,725.0,76631.0,backfill_api
2025-03-02,729.9,739.5,721.6,732.5,106553.0,backfill_api
2025-03-03,735.0,740.0,720.0,720.0,136399.0,backfill_api
2025-03-04,729.9,730.0,707.0,707.0,66537.0,backfill_api
2025-03-05,700.1,715.0,700.1,702.5,83756.0,backfill_api
2025-03-06,700.2,722.9,700.2,721.0,109043.0,backfill_api
2025-03-09,709.0,729.9,703.0,711.0,79487.0,backfill_api
2025-03-10,708.0,717.8,697.1,700.0,46584.0,backfill_api
2025-03-11,700.0,716.0,690.0,692.0,67389.0,backfill_api
2025-03-12,692.0,709.0,692.0,700.2,47753.0,backfill_api
2025-03-16,700.2,709.9,692.0,695.0,30976.0,backfill_api
2025-03-17,690.0,707.5,690.0,693.0,36227.0,backfill_api
2025-03-18,706.8,706.8,686.0,687.0,69187.0,backfill_api
2025-03-19,695.0,695.0,657.0,665.0,67833.0,backfill_api
2025-03-20,659.0,671.0,658.0,667.74,23494.0,backfill_api
2025-03-23,655.1,666.9,644.0,645.41,36840.0,backfill_api
2025-03-24,645.0,655.0,635.0,645.57,26167.0,backfill_api
2025-03-25,645.0,653.0,622.0,623.13,28934.0,backfill_api
2025-03-26,622.0,645.0,622.0,643.19,20083.0,backfill_api
2025-03-27,643.0,657.9,636.0,652.44,27391.0,backfill_api
2025-03-30,639.4,668.0,639.4,654.22,42236.0,backfill_api
2025-04-01,654.0,660.0,640.0,647.78,21232.0,backfill_api
2025-04-02,647.78,652.0,637.0,650.22,11688.0,backfill_api
2025-04-03,645.0,663.0,640.0,646.26,24220.0,backfill_api
2025-04-07,658.0,658.0,634.1,636.47,26520.0,backfill_api
2025-04-08,636.0,636.0,618.0,633.67,50793.0,backfill_api
2025-04-09,636.9,649.0,629.0,644.17,21912.0,backfill_api
2025-04-10,644.0,644.0,635.0,636.07,13743.0,backfill_api
2025-04-13,648.2,660.0,632.1,640.48,101521.0,backfill_api
2025-04-15,641.0,645.0,629.6,630.66,72534.0,backfill_api
2025-04-16,632.0,638.0,623.1,627.24,55399.0,backfill_api
2025-04-17,639.7,639.7,619.0,629.16,133097.0,backfill_api
2025-04-20,516.0,525.0,500.0,509.23,36004.0,backfill_api
2025-04-21,500.1,508.0,500.1,505.47,30355.0,backfill_api
2025-04-22,500.0,510.0,500.0,503.36,23813.0,backfill_api
2025-04-23,503.0,510.0,501.1,503.05,13528.0,backfill_api
2025-04-24,501.0,505.0,497.1,501.18,10370.0,backfill_api
2025-04-27,502.0,502.0,492.0,497.09,40685.0,backfill_api
2025-04-28,502.0,502.9,493.0,495.28,18071.0,backfill_api
2025-04-29,486.0,499.0,485.0,485.6,23975.0,backfill_api
2025-04-30,494.0,499.4,485.0,487.37,17603.0,backfill_api
2025-05-04,495.0,495.0,482.0,482.42,14924.0,backfill_api
2025-05-05,482.0,488.7,479.0,480.13,13085.0,backfill_api
2025-05-06,481.0,482.5,472.9,473.36,20449.0,backfill_api
2025-05-07,475.0,503.0,471.0,488.68,18240.0,backfill_api
2025-05-08,488.0,500.0,485.1,492.91,17965.0,backfill_api
2025-05-11,493.0,499.0,488.0,493.87,18685.0,backfill_api
2025-05-13,494.0,501.8,494.0,499.42,22467.0,backfill_api
2025-05-14,509.4,509.4,491.1,493.85,18671.0,backfill_api
2025-05-15,491.0,493.0,489.6,490.32,13219.0,backfill_api
2025-05-18,490.0,492.0,481.1,489.88,6188.0,backfill_api
2025-05-19,488.0,494.9,480.1,486.67,27485.0,backfill_api
2025-05-20,483.0,497.0,483.0,493.05,11100.0,backfill_api
2025-05-21,502.9,518.0,495.1,495.7,14941.0,backfill_api
2025-05-22,505.0,505.0,488.8,491.2,13424.0,backfill_api
2025-05-25,500.0,500.0,490.1,492.11,15756.0,backfill_api
2025-05-26,500.0,501.0,490.0,490.82,14853.0,backfill_api
2025-05-27,490.0,492.0,485.1,488.67,5447.0,backfill_api
2025-05-28,486.1,491.0,486.1,489.81,10081.0,backfill_api
2025-06-02,499.5,500.0,490.0,492.24,18288.0,backfill_api
2025-06-03,491.0,494.0,483.5,488.46,9195.0,backfill_api
2025-06-04,485.0,490.0,485.0,487.3,5760.0,backfill_api
2025-06-05,478.2,489.9,478.2,482.48,7927.0,backfill_api
2025-06-08,477.0,490.0,476.0,483.09,8526.0,backfill_api
2025-06-09,480.0,487.0,477.1,479.03,9366.0,backfill_api
2025-06-10,475.0,490.0,475.0,487.25,13430.0,backfill_api
2025-06-11,480.0,490.0,477.1,480.4,11045.0,backfill_api
2025-06-12,473.0,481.0,473.0,477.69,7073.0,backfill_api
2025-06-15,475.2,484.0,472.0,475.12,8204.0,backfill_api
2025-06-16,473.1,480.0,473.1,478.04,10321.0,backfill_api
2025-06-17,477.0,480.0,474.0,475.61,15846.0,backfill_api
2025-06-18,470.1,480.0,470.1,476.44,7966.0,backfill_api
2025-06-19,472.0,479.9,470.0,470.59,19425.0,backfill_api
2025-06-22,465.0,477.0,460.6,461.86,13144.0,backfill_api
2025-06-23,456.0,488.0,456.0,460.45,9431.0,backfill_api
2025-06-24,460.0,469.0,452.0,456.75,14643.0,backfill_api
2025-06-25,455.0,465.0,455.0,457.56,6447.0,backfill_api
2025-06-26,457.0,464.0,457.0,458.86,7153.0,backfill_api
2025-06-29,463.0,468.0,458.0,463.71,9661.0,backfill_api
2025-06-30,457.2,471.2,457.2,464.74,8821.0,backfill_api
2025-07-01,470.0,470.0,460.0,468.31,7391.0,backfill_api
2025-07-02,468.8,489.6,468.0,487.39,31646.0,backfill_api
2025-07-03,496.9,511.0,485.0,505.35,47137.0,backfill_api
2025-07-06,508.0,508.0,490.1,495.23,31721.0,backfill_api
2025-07-07,500.0,503.5,485.0,488.1,15759.0,backfill_api
2025-07-08,480.0,492.0,480.0,487.03,14154.0,backfill_api
2025-07-09,485.1,493.9,485.1,488.72,20764.0,backfill_api
2025-07-10,485.1,495.5,485.1,490.52,24278.0,backfill_api
