date,open,high,low,close,volume,source
2025-02-27,835.0,843.0,824.0,843.0,5735.0,backfill_api
2025-03-02,827.0,847.4,827.0,845.0,5671.0,backfill_api
2025-03-03,860.0,860.0,825.1,825.1,5233.0,backfill_api
2025-03-04,809.0,839.0,809.0,833.0,1755.0,backfill_api
2025-03-05,816.5,829.9,809.1,809.1,3974.0,backfill_api
2025-03-06,808.0,825.0,806.0,818.0,4014.0,backfill_api
2025-03-09,812.0,813.0,789.0,804.0,3375.0,backfill_api
2025-03-10,792.0,816.0,790.3,812.0,3195.0,backfill_api
2025-03-11,825.0,825.0,781.1,795.0,2843.0,backfill_api
2025-03-12,781.1,800.0,771.0,790.0,4405.0,backfill_api
2025-03-16,775.0,795.0,766.0,780.0,2125.0,backfill_api
2025-03-17,780.0,802.9,773.0,790.0,2724.0,backfill_api
2025-03-18,782.0,787.0,756.6,764.0,4020.0,backfill_api
2025-03-19,764.0,807.9,764.0,781.3,4260.0,backfill_api
2025-03-20,766.0,781.0,766.0,776.58,1010.0,backfill_api
2025-03-23,761.5,761.5,719.6,726.23,4755.0,backfill_api
2025-03-24,726.0,770.0,712.5,748.0,3185.0,backfill_api
2025-03-25,733.1,762.5,708.0,731.71,2159.0,backfill_api
2025-03-26,725.0,760.9,725.0,753.96,1936.0,backfill_api
2025-03-27,738.9,799.0,738.0,798.7,2341.0,backfill_api
2025-03-30,785.0,795.0,749.0,767.66,8366.0,backfill_api
2025-04-01,752.4,812.0,752.4,799.48,3035.0,backfill_api
2025-04-02,783.5,790.3,765.0,790.3,3257.0,backfill_api
2025-04-03,775.1,783.0,762.0,765.19,2017.0,backfill_api
2025-04-07,750.1,826.0,735.0,797.93,2020.0,backfill_api
2025-04-08,782.0,789.9,737.0,769.39,1985.0,backfill_api
2025-04-09,770.0,770.0,761.1,762.0,450.0,backfill_api
2025-04-10,761.0,761.0,740.0,746.16,2830.0,backfill_api
2025-04-13,735.0,773.9,735.0,768.19,1378.0,backfill_api
2025-04-15,755.0,783.0,753.0,768.1,1940.0,backfill_api
2025-04-16,757.0,767.0,755.2,758.23,1022.0,backfill_api
2025-04-17,750.2,770.0,746.0,752.73,3367.0,backfill_api
2025-04-20,750.0,765.0,750.0,756.69,1928.0,backfill_api
2025-04-21,744.0,767.0,735.1,751.77,3950.0,backfill_api
2025-04-22,766.8,766.8,741.0,743.3,2450.0,backfill_api
2025-04-23,743.0,743.0,733.0,740.0,475.0,backfill_api
2025-04-24,727.6,740.2,725.2,726.85,2116.0,backfill_api
2025-04-27,718.0,741.0,700.0,705.24,5724.0,backfill_api
2025-04-28,700.0,770.0,700.0,711.24,1355.0,backfill_api
2025-04-29,711.0,721.0,711.0,714.64,2616.0,backfill_api
2025-04-30,704.0,725.0,704.0,711.69,1906.0,backfill_api
2025-05-04,701.0,712.0,693.1,696.85,8022.0,backfill_api
2025-05-05,688.1,712.8,688.0,695.48,1850.0,backfill_api
2025-05-06,700.0,709.0,654.7,705.93,4382.0,backfill_api
