date,open,high,low,close,volume,source
2025-02-27,972.0,980.0,960.0,970.0,7200.0,backfill_api
2025-03-02,960.2,976.0,960.0,968.1,10277.0,backfill_api
2025-03-03,968.1,1007.0,960.1,965.0,5900.0,backfill_api
2025-03-04,984.3,1002.5,960.0,967.8,4471.0,backfill_api
2025-03-05,952.0,966.0,952.0,956.0,2553.0,backfill_api
2025-03-06,939.0,960.0,939.0,955.0,5954.0,backfill_api
2025-03-09,935.9,973.6,920.5,925.0,6406.0,backfill_api
2025-03-10,943.5,954.0,906.0,917.5,5994.0,backfill_api
2025-03-11,930.0,935.0,900.0,907.0,8247.0,backfill_api
2025-03-12,907.1,920.0,903.2,916.0,4184.0,backfill_api
2025-03-16,905.0,905.0,885.0,887.0,4250.0,backfill_api
2025-03-17,879.1,900.0,879.1,892.5,1996.0,backfill_api
2025-03-18,880.1,912.9,880.1,905.0,1165.0,backfill_api
2025-03-19,888.1,922.0,888.0,904.0,3935.0,backfill_api
2025-03-20,904.9,910.0,890.0,893.72,1728.0,backfill_api
2025-03-23,888.0,899.0,848.0,855.83,5617.0,backfill_api
2025-03-24,860.0,868.9,844.0,864.09,1562.0,backfill_api
2025-03-25,850.0,855.0,828.1,830.45,4491.0,backfill_api
2025-03-26,816.2,845.0,814.1,843.17,2120.0,backfill_api
2025-03-27,828.0,900.0,828.0,865.15,2915.0,backfill_api
2025-03-30,860.0,894.0,860.0,885.0,4698.0,backfill_api
2025-04-01,881.0,889.0,868.1,884.66,1750.0,backfill_api
2025-04-02,899.0,902.0,868.1,895.0,4707.0,backfill_api
2025-04-03,905.0,905.0,875.0,884.2,1905.0,backfill_api
2025-04-07,866.6,895.1,850.0,886.47,310.0,backfill_api
2025-04-08,870.0,885.0,857.3,882.98,1080.0,backfill_api
2025-04-09,882.0,929.0,872.0,894.56,1720.0,backfill_api
2025-04-10,876.7,894.0,870.0,872.65,4046.0,backfill_api
2025-04-13,872.0,874.0,855.0,868.96,2145.0,backfill_api
2025-04-15,852.3,900.0,852.3,881.36,3899.0,backfill_api
2025-04-16,867.2,894.8,866.2,877.29,959.0,backfill_api
2025-04-17,890.0,890.0,865.0,873.99,2758.0,backfill_api
2025-04-20,865.0,882.3,858.0,866.75,1910.0,backfill_api
2025-04-21,849.5,894.0,849.5,887.15,2581.0,backfill_api
2025-04-22,869.5,896.0,864.0,872.25,840.0,backfill_api
2025-04-23,860.1,872.0,854.6,857.47,3203.0,backfill_api
2025-04-24,845.2,860.0,845.2,853.23,1315.0,backfill_api
2025-04-27,845.0,870.0,838.0,853.19,3458.0,backfill_api
2025-04-28,840.0,870.0,840.0,851.79,2227.0,backfill_api
2025-04-29,855.0,858.0,823.2,824.49,3833.0,backfill_api
2025-04-30,809.2,831.0,809.2,820.21,2467.0,backfill_api
2025-05-04,816.0,816.0,802.1,806.15,1965.0,backfill_api
2025-05-05,810.0,829.0,804.0,820.0,2430.0,backfill_api
2025-05-06,804.1,819.9,790.0,800.39,4871.0,backfill_api
2025-05-07,803.0,823.0,803.0,816.95,2462.0,backfill_api
2025-05-08,818.0,846.0,810.3,843.6,2406.0,backfill_api
2025-05-11,847.9,847.9,822.0,825.44,1525.0,backfill_api
2025-05-13,840.9,841.9,800.1,808.4,2670.0,backfill_api
2025-05-14,803.0,824.4,800.0,806.29,3491.0,backfill_api
2025-05-15,820.0,820.0,792.3,801.03,1850.0,backfill_api
2025-05-18,791.0,800.0,790.0,797.0,1591.0,backfill_api
2025-05-19,797.0,805.0,785.1,792.16,1602.0,backfill_api
2025-05-20,785.0,819.0,780.2,811.55,4097.0,backfill_api
2025-05-21,827.7,878.2,795.4,813.9,3536.0,backfill_api
2025-05-22,814.0,814.0,798.0,800.3,2066.0,backfill_api
2025-05-25,787.0,800.0,787.0,799.95,1830.0,backfill_api
2025-05-26,814.0,820.0,790.3,796.93,3738.0,backfill_api
2025-05-27,796.0,805.5,789.5,797.76,3870.0,backfill_api
2025-05-28,786.1,800.0,785.9,794.4,2571.0,backfill_api
2025-06-02,785.2,803.0,785.2,803.0,1393.0,backfill_api
2025-06-03,800.0,800.0,790.0,800.0,991.0,backfill_api
2025-06-04,784.1,798.7,783.1,798.7,1840.0,backfill_api
2025-06-05,795.0,796.5,786.0,794.17,1200.0,backfill_api
2025-06-08,786.0,794.0,771.0,775.46,3614.0,backfill_api
2025-06-09,765.4,812.8,765.4,780.71,2860.0,backfill_api
2025-06-10,795.0,805.0,782.0,795.5,2807.0,backfill_api
2025-06-11,795.1,821.1,780.0,804.93,7356.0,backfill_api
2025-06-12,801.3,815.0,797.0,798.1,3767.0,backfill_api
2025-06-15,800.0,809.9,787.1,788.36,977.0,backfill_api
2025-06-16,790.0,805.7,786.0,796.15,1659.0,backfill_api
2025-06-17,787.0,799.5,784.0,787.47,1642.0,backfill_api
2025-06-18,781.0,794.0,780.0,782.0,2250.0,backfill_api
2025-06-19,767.0,805.8,767.0,787.79,4445.0,backfill_api
2025-06-22,772.2,795.6,772.2,788.87,4657.0,backfill_api
2025-06-23,788.9,804.0,776.5,789.91,1440.0,backfill_api
2025-06-24,790.0,794.5,780.0,794.5,2724.0,backfill_api
2025-06-25,778.9,792.0,765.0,789.68,630.0,backfill_api
2025-06-26,805.4,805.4,778.0,780.11,2708.0,backfill_api
2025-06-29,768.6,790.0,768.6,783.08,930.0,backfill_api
2025-06-30,781.0,800.0,781.0,794.76,3191.0,backfill_api
2025-07-01,789.0,800.0,780.0,796.62,5439.0,backfill_api
2025-07-02,800.0,812.5,800.0,805.74,2174.0,backfill_api
2025-07-03,806.0,812.0,786.6,804.88,4796.0,backfill_api
2025-07-06,790.1,814.0,790.1,808.38,2156.0,backfill_api
2025-07-07,797.3,824.5,797.0,812.67,4628.0,backfill_api
2025-07-08,812.0,812.0,797.0,803.32,2224.0,backfill_api
