date,open,high,low,close,volume,source
2025-02-27,899.0,910.0,891.1,899.0,15968.0,backfill_api
2025-03-02,909.0,916.9,900.0,915.0,14346.0,backfill_api
2025-03-03,920.0,920.0,891.0,904.6,20644.0,backfill_api
2025-03-04,920.0,920.0,880.0,884.3,16665.0,backfill_api
2025-03-05,899.9,899.9,865.0,878.0,26268.0,backfill_api
2025-03-06,889.8,889.8,874.0,880.0,7029.0,backfill_api
2025-03-09,880.0,880.0,862.4,871.0,9325.0,backfill_api
2025-03-10,883.0,883.0,865.0,870.0,7563.0,backfill_api
2025-03-11,873.0,873.9,855.0,862.8,8234.0,backfill_api
2025-03-12,862.0,868.9,854.2,863.5,6201.0,backfill_api
2025-03-16,856.1,865.0,851.0,852.0,5207.0,backfill_api
2025-03-17,860.0,877.0,856.1,865.5,6164.0,backfill_api
2025-03-18,881.8,881.8,859.1,869.0,3165.0,backfill_api
2025-03-19,853.0,864.0,853.0,864.0,4604.0,backfill_api
2025-03-20,881.2,881.2,846.4,850.01,11853.0,backfill_api
2025-03-23,853.0,854.0,832.0,834.96,5482.0,backfill_api
2025-03-24,839.0,840.0,830.2,831.45,10069.0,backfill_api
2025-03-25,830.0,832.0,803.6,817.4,8870.0,backfill_api
2025-03-26,832.0,832.0,801.0,828.53,7393.0,backfill_api
2025-03-27,825.0,844.9,825.0,830.58,4638.0,backfill_api
2025-03-30,839.0,847.0,823.0,833.51,19527.0,backfill_api
2025-04-01,840.0,840.0,813.5,823.21,7907.0,backfill_api
2025-04-02,827.0,827.0,807.1,821.28,4835.0,backfill_api
2025-04-03,831.9,831.9,818.2,827.27,9734.0,backfill_api
2025-04-07,827.27,833.0,815.0,828.38,5048.0,backfill_api
2025-04-08,838.0,838.0,815.1,828.19,3261.0,backfill_api
2025-04-09,828.19,834.1,818.4,827.62,3555.0,backfill_api
2025-04-10,830.0,833.0,822.3,829.51,4649.0,backfill_api
2025-04-13,830.0,835.0,820.0,832.0,2990.0,backfill_api
2025-04-15,832.0,835.0,827.0,831.66,1493.0,backfill_api
2025-04-16,830.0,836.0,819.3,833.85,7290.0,backfill_api
2025-04-17,822.0,852.0,822.0,839.96,5818.0,backfill_api
2025-04-20,856.0,856.0,816.0,824.5,6208.0,backfill_api
2025-04-21,824.0,834.9,824.0,827.4,2447.0,backfill_api
2025-04-22,830.0,830.1,824.2,826.47,4199.0,backfill_api
2025-04-23,820.0,823.0,816.0,819.38,2158.0,backfill_api
2025-04-24,816.0,825.0,813.1,824.43,3041.0,backfill_api
2025-04-27,828.9,828.9,808.0,809.7,5973.0,backfill_api
2025-04-28,805.0,815.0,800.0,803.01,2677.0,backfill_api
2025-04-29,809.0,817.0,795.1,802.16,5324.0,backfill_api
2025-04-30,813.0,813.0,787.0,799.62,4332.0,backfill_api
2025-05-04,800.0,815.0,789.0,793.63,2261.0,backfill_api
2025-05-05,804.0,804.0,791.0,798.39,1524.0,backfill_api
2025-05-06,800.0,809.9,789.0,790.82,1764.0,backfill_api
2025-05-07,791.0,840.0,785.1,810.36,3125.0,backfill_api
2025-05-08,805.0,820.0,805.0,815.65,1845.0,backfill_api
2025-05-11,822.0,822.0,798.7,800.71,3827.0,backfill_api
2025-05-13,811.0,811.0,790.0,793.81,3943.0,backfill_api
2025-05-14,798.9,801.0,786.0,790.06,3435.0,backfill_api
2025-05-15,790.0,794.0,784.0,785.12,6499.0,backfill_api
2025-05-18,787.1,798.9,783.3,788.0,2058.0,backfill_api
2025-05-19,797.9,797.9,791.0,793.1,6215.0,backfill_api
2025-05-20,802.0,813.6,785.0,812.81,7875.0,backfill_api
2025-05-21,829.0,843.9,802.6,808.0,5066.0,backfill_api
2025-05-22,818.9,840.4,810.0,834.65,36900.0,backfill_api
2025-05-25,835.0,866.0,835.0,863.12,20808.0,backfill_api
2025-05-26,878.0,878.0,842.9,845.7,27537.0,backfill_api
2025-05-27,830.1,849.0,830.0,832.82,11130.0,backfill_api
2025-05-28,832.82,842.0,825.0,838.61,2182.0,backfill_api
2025-06-02,840.0,841.0,833.0,836.17,2930.0,backfill_api
2025-06-03,821.0,830.0,821.0,824.15,2471.0,backfill_api
2025-06-04,810.1,840.0,810.1,815.0,15506.0,backfill_api
2025-06-05,812.0,820.0,803.0,804.11,4626.0,backfill_api
2025-06-08,796.0,806.0,788.0,795.53,10222.0,backfill_api
2025-06-09,800.0,807.0,795.1,795.99,5543.0,backfill_api
2025-06-10,793.0,806.9,793.0,798.77,2803.0,backfill_api
2025-06-11,798.77,809.0,795.1,795.9,4217.0,backfill_api
2025-06-12,798.1,806.0,795.0,802.88,5552.0,backfill_api
2025-06-15,813.0,818.9,804.0,804.02,3047.0,backfill_api
2025-06-16,791.0,835.0,788.0,810.99,13976.0,backfill_api
2025-06-17,822.0,827.0,815.0,816.51,14949.0,backfill_api
2025-06-18,824.5,832.8,812.1,816.5,1862.0,backfill_api
2025-06-19,809.1,825.0,805.1,807.37,6550.0,backfill_api
2025-06-22,807.0,819.0,792.2,793.08,4857.0,backfill_api
2025-06-23,788.0,799.7,784.1,790.23,2466.0,backfill_api
2025-06-24,783.0,810.0,782.4,796.66,4040.0,backfill_api
2025-06-25,790.0,799.0,785.1,791.77,980.0,backfill_api
2025-06-26,790.5,800.0,787.0,795.4,2303.0,backfill_api
2025-06-29,787.1,820.0,787.1,815.13,6466.0,backfill_api
2025-06-30,807.0,825.0,807.0,821.73,3282.0,backfill_api
2025-07-01,834.0,834.0,821.0,830.89,6834.0,backfill_api
2025-07-02,840.0,847.5,820.0,835.86,14102.0,backfill_api
2025-07-03,826.1,845.0,826.1,835.76,14016.0,backfill_api
2025-07-06,836.0,842.0,833.0,835.95,6304.0,backfill_api
2025-07-07,831.0,840.0,820.0,831.93,10529.0,backfill_api
2025-07-08,817.5,827.6,817.5,824.28,1443.0,backfill_api
2025-07-09,827.4,832.0,821.1,824.82,2651.0,backfill_api
2025-07-10,833.0,843.7,825.1,840.78,9289.0,backfill_api
2025-07-13,857.5,884.0,857.5,870.14,31759.0,backfill_api
2025-07-14,883.0,883.0,856.0,861.15,7869.0,backfill_api
2025-07-15,872.0,882.0,856.1,877.6,17271.0,backfill_api
2025-07-16,877.0,895.0,877.0,881.44,21611.0,backfill_api
2025-07-17,890.0,907.8,890.0,895.93,18567.0,backfill_api
2025-07-20,900.0,924.0,888.0,889.86,41301.0,backfill_api
2025-07-21,904.9,905.0,878.0,900.3,14467.0,backfill_api
2025-07-22,885.0,967.0,885.0,964.94,118429.0,backfill_api
2025-07-23,969.8,1015.0,953.0,997.91,164873.0,backfill_api
2025-07-24,980.0,1039.0,980.0,1007.03,170658.0,backfill_api
2025-07-27,1020.0,1046.5,1010.0,1019.08,149276.0,backfill_api
2025-07-28,1039.0,1039.0,988.0,1007.34,64705.0,backfill_api
2025-07-29,1020.0,1028.0,1010.5,1013.96,56705.0,backfill_api
2025-07-30,1034.0,1034.0,970.0,976.66,48226.0,backfill_api
2025-07-31,995.0,1016.0,957.2,962.09,32060.0,backfill_api
