date,open,high,low,close,volume,source
2025-02-27,595.0,595.0,580.0,588.0,34576.0,backfill_api
2025-03-02,599.7,624.0,588.0,623.0,70592.0,backfill_api
2025-03-03,625.0,628.9,609.0,609.0,44775.0,backfill_api
2025-03-04,620.0,620.0,590.0,590.0,38611.0,backfill_api
2025-03-05,590.0,596.0,585.0,596.0,26642.0,backfill_api
2025-03-06,603.0,603.0,585.2,593.0,27234.0,backfill_api
2025-03-09,586.3,595.0,584.0,585.0,20968.0,backfill_api
2025-03-10,596.0,596.0,575.0,589.9,24662.0,backfill_api
2025-03-11,594.9,594.9,565.1,575.0,31918.0,backfill_api
2025-03-12,570.0,581.0,570.0,579.0,12634.0,backfill_api
2025-03-16,571.0,574.0,563.0,565.0,15219.0,backfill_api
2025-03-17,565.0,574.0,550.4,552.0,21179.0,backfill_api
2025-03-18,557.9,560.0,545.0,547.9,7158.0,backfill_api
2025-03-19,549.0,549.0,538.0,538.0,19632.0,backfill_api
2025-03-20,534.6,538.0,530.0,533.49,22058.0,backfill_api
2025-03-23,539.0,539.0,516.0,516.37,19505.0,backfill_api
2025-03-24,516.9,530.0,511.1,523.89,12341.0,backfill_api
2025-03-25,514.0,519.0,495.0,498.8,27067.0,backfill_api
2025-03-26,505.0,510.0,492.2,499.1,34617.0,backfill_api
2025-03-27,502.0,516.9,502.0,514.66,10021.0,backfill_api
2025-03-30,523.0,555.0,513.0,544.87,35491.0,backfill_api
2025-04-01,538.1,545.0,529.1,535.49,21411.0,backfill_api
2025-04-02,532.1,549.0,532.1,546.72,14193.0,backfill_api
2025-04-03,536.1,545.0,530.2,534.57,13087.0,backfill_api
2025-04-07,534.1,550.0,525.6,527.29,13650.0,backfill_api
2025-04-08,518.1,523.9,509.0,519.51,15917.0,backfill_api
2025-04-09,519.0,523.0,516.0,517.48,10428.0,backfill_api
2025-04-10,515.0,524.0,514.1,515.26,15419.0,backfill_api
2025-04-13,525.5,527.9,515.0,520.21,19013.0,backfill_api
2025-04-15,529.9,532.0,519.4,526.24,12436.0,backfill_api
2025-04-16,527.0,540.0,526.1,534.05,11490.0,backfill_api
2025-04-17,530.0,551.8,530.0,538.75,28252.0,backfill_api
2025-04-20,531.0,549.2,531.0,535.23,9504.0,backfill_api
2025-04-21,527.1,583.0,527.1,571.58,60495.0,backfill_api
2025-04-22,572.0,609.0,571.5,591.12,89762.0,backfill_api
2025-04-23,591.1,592.0,580.1,588.6,52815.0,backfill_api
2025-04-24,598.0,598.0,575.1,588.54,45803.0,backfill_api
2025-04-27,577.0,599.0,577.0,579.64,34785.0,backfill_api
2025-04-28,580.0,580.0,549.0,559.22,27441.0,backfill_api
2025-04-29,566.5,600.0,556.0,568.14,43553.0,backfill_api
2025-04-30,579.4,579.5,555.0,557.33,21223.0,backfill_api
2025-05-04,568.4,590.5,558.0,560.91,61299.0,backfill_api
2025-05-05,565.0,567.0,550.0,554.6,20354.0,backfill_api
2025-05-06,565.0,576.0,560.0,570.94,55890.0,backfill_api
2025-05-07,582.3,595.0,573.0,592.68,118601.0,backfill_api
2025-05-08,600.0,604.0,575.0,594.61,130861.0,backfill_api
2025-05-11,604.0,616.0,597.0,601.17,76216.0,backfill_api
2025-05-13,602.0,610.0,584.0,588.51,46105.0,backfill_api
2025-05-14,590.0,590.0,571.0,578.11,30585.0,backfill_api
2025-05-15,575.0,590.0,570.1,580.92,69643.0,backfill_api
2025-05-18,592.0,600.0,588.1,594.11,208399.0,backfill_api
2025-05-19,354.0,381.7,354.0,381.7,67901.0,backfill_api
2025-05-20,389.3,412.0,363.1,375.94,95922.0,backfill_api
2025-05-21,383.4,398.8,359.0,360.14,66544.0,backfill_api
2025-05-22,364.0,370.0,355.0,355.99,31329.0,backfill_api
2025-05-25,363.1,365.0,350.6,354.72,10145.0,backfill_api
2025-05-26,361.0,361.0,345.1,347.82,31528.0,backfill_api
2025-05-27,343.0,349.0,343.0,344.76,13665.0,backfill_api
2025-05-28,340.1,347.0,340.1,345.21,14656.0,backfill_api
2025-06-02,352.1,363.9,338.4,344.98,21181.0,backfill_api
2025-06-03,339.0,357.0,339.0,345.1,11855.0,backfill_api
2025-06-04,340.1,345.0,338.6,340.8,17170.0,backfill_api
2025-06-05,347.5,347.5,334.0,336.55,11137.0,backfill_api
2025-06-08,336.0,343.7,336.0,342.59,13100.0,backfill_api
2025-06-09,349.0,354.0,345.2,351.38,15696.0,backfill_api
2025-06-10,357.9,361.5,355.0,355.47,15478.0,backfill_api
2025-06-11,360.0,360.0,349.0,350.39,15793.0,backfill_api
2025-06-12,357.0,385.3,357.0,371.39,111205.0,backfill_api
2025-06-15,376.0,384.9,373.0,379.33,50791.0,backfill_api
2025-06-16,380.0,389.6,373.1,375.11,67915.0,backfill_api
2025-06-17,382.6,382.6,360.0,368.62,11924.0,backfill_api
2025-06-18,361.5,376.0,361.5,370.15,16412.0,backfill_api
2025-06-19,372.0,377.0,365.0,373.25,37454.0,backfill_api
2025-06-22,368.0,378.0,362.2,362.91,23892.0,backfill_api
2025-06-23,360.0,367.1,358.0,359.62,11739.0,backfill_api
2025-06-24,361.0,375.3,361.0,368.43,23159.0,backfill_api
2025-06-25,374.9,405.2,370.0,404.44,178171.0,backfill_api
2025-06-26,405.0,428.0,398.6,402.02,74442.0,backfill_api
2025-06-29,402.0,425.0,395.0,421.25,135575.0,backfill_api
2025-06-30,421.0,424.1,403.0,413.92,75711.0,backfill_api
2025-07-01,419.0,440.0,417.0,435.38,135972.0,backfill_api
2025-07-02,426.7,445.9,419.0,427.67,97836.0,backfill_api
2025-07-03,436.2,436.2,404.0,414.19,65903.0,backfill_api
2025-07-06,406.2,412.0,395.1,399.05,40551.0,backfill_api
2025-07-07,407.0,410.0,391.2,395.96,25056.0,backfill_api
2025-07-08,400.0,405.0,393.0,394.51,37119.0,backfill_api
2025-07-09,402.0,415.0,394.0,401.41,69213.0,backfill_api
2025-07-10,409.0,409.0,395.0,396.4,31712.0,backfill_api
2025-07-13,404.3,409.0,385.0,385.77,44905.0,backfill_api
2025-07-14,393.4,393.4,384.0,389.9,17631.0,backfill_api
2025-07-15,397.6,399.0,383.0,385.92,56032.0,backfill_api
2025-07-16,393.0,394.9,381.1,385.89,90163.0,backfill_api
2025-07-17,393.6,409.0,391.5,401.66,56921.0,backfill_api
2025-07-20,402.0,405.0,388.0,391.07,64828.0,backfill_api
2025-07-21,398.0,398.0,385.0,390.75,33523.0,backfill_api
2025-07-22,390.0,398.5,389.0,397.51,55263.0,backfill_api
2025-07-23,400.0,402.9,386.0,396.5,39291.0,backfill_api
2025-07-24,404.0,419.9,390.0,417.0,106244.0,backfill_api
2025-07-27,420.0,431.5,403.0,405.97,83580.0,backfill_api
2025-07-28,399.0,408.0,395.0,404.63,33305.0,backfill_api
2025-07-29,412.7,430.0,406.0,414.28,166492.0,backfill_api
2025-07-30,421.0,422.0,403.0,405.21,34654.0,backfill_api
2025-07-31,412.9,412.9,396.0,398.37,38598.0,backfill_api
2025-08-03,395.0,400.0,390.0,391.55,24448.0,backfill_api
2025-08-04,399.3,399.3,386.5,392.7,16198.0,backfill_api
2025-08-05,392.0,397.5,381.1,382.52,22312.0,backfill_api
2025-08-06,376.4,385.0,375.9,377.16,22511.0,backfill_api
2025-08-07,380.0,383.5,371.0,380.65,16056.0,backfill_api
