date,open,high,low,close,volume,source
2025-02-25 00:00:00,905.0,924.1,885.0,903.0,75061.0,backfill_api
2025-02-27 00:00:00,903.0,993.3,884.0,993.3,34789.0,backfill_api
2025-03-02 00:00:00,974.0,993.4,935.1,939.0,32627.0,backfill_api
2025-03-03 00:00:00,937.0,953.8,935.0,953.0,19234.0,backfill_api
2025-03-04 00:00:00,934.0,950.0,900.0,926.0,13155.0,backfill_api
2025-03-05 00:00:00,929.0,929.0,886.1,898.0,18059.0,backfill_api
2025-03-06 00:00:00,888.0,915.9,878.0,878.0,10720.0,backfill_api
2025-03-09 00:00:00,867.1,882.0,840.1,844.0,10736.0,backfill_api
2025-03-10 00:00:00,860.0,877.2,846.2,846.2,3301.0,backfill_api
2025-03-11 00:00:00,830.0,861.9,830.0,831.0,7988.0,backfill_api
2025-03-12 00:00:00,829.0,839.9,820.0,827.0,5999.0,backfill_api
2025-03-16 00:00:00,825.0,894.0,825.0,861.6,57774.0,backfill_api
2025-03-17 00:00:00,861.0,913.4,861.0,880.0,18568.0,backfill_api
2025-03-18 00:00:00,880.0,930.0,875.3,884.0,18756.0,backfill_api
2025-03-19 00:00:00,883.0,900.0,844.0,878.0,49330.0,backfill_api
2025-03-20 00:00:00,860.5,895.5,818.3,888.55,34172.0,backfill_api
2025-03-23 00:00:00,885.0,888.0,799.7,841.37,65126.0,backfill_api
2025-03-24 00:00:00,838.6,838.6,796.0,805.55,28262.0,backfill_api
2025-03-25 00:00:00,790.0,790.0,750.0,752.81,20695.0,backfill_api
2025-03-26 00:00:00,750.0,764.0,743.0,752.32,10610.0,backfill_api
2025-03-27 00:00:00,767.3,767.3,747.0,751.89,14687.0,backfill_api
2025-03-30 00:00:00,736.9,771.0,736.9,765.37,36458.0,backfill_api
2025-04-01 00:00:00,765.0,779.9,748.1,758.53,27994.0,backfill_api
2025-04-02 00:00:00,755.0,765.0,727.7,743.57,18378.0,backfill_api
2025-04-03 00:00:00,750.0,756.0,728.8,747.24,50249.0,backfill_api
2025-04-07 00:00:00,749.0,758.0,672.6,679.34,80525.0,backfill_api
2025-04-08 00:00:00,692.9,706.0,658.8,674.51,51830.0,backfill_api
2025-04-09 00:00:00,661.1,693.6,657.0,664.85,27597.0,backfill_api
2025-04-10 00:00:00,661.1,672.0,656.3,659.9,15410.0,backfill_api
2025-04-13 00:00:00,668.0,668.0,643.0,646.17,19459.0,backfill_api
2025-04-15 00:00:00,638.0,655.0,638.0,649.01,18000.0,backfill_api
2025-04-16 00:00:00,649.0,702.0,640.1,682.86,14850.0,backfill_api
2025-04-17 00:00:00,696.0,708.9,671.1,685.07,31125.0,backfill_api
2025-04-20 00:00:00,680.0,691.0,661.7,669.73,11101.0,backfill_api
2025-04-21 00:00:00,658.1,671.0,653.0,655.28,16156.0,backfill_api
2025-04-22 00:00:00,642.2,681.0,642.2,668.38,20881.0,backfill_api
2025-04-23 00:00:00,681.4,681.4,655.3,665.26,9209.0,backfill_api
2025-04-24 00:00:00,664.0,664.0,636.4,643.42,9070.0,backfill_api
2025-04-27 00:00:00,656.2,657.9,630.3,646.31,22099.0,backfill_api
2025-04-28 00:00:00,650.0,659.9,641.0,654.4,4948.0,backfill_api
2025-04-29 00:00:00,650.0,659.4,650.0,651.1,14579.0,backfill_api
2025-04-30 00:00:00,663.6,663.6,637.1,639.16,16292.0,backfill_api
2025-05-04 00:00:00,628.4,644.0,628.1,631.95,9328.0,backfill_api
2025-05-05 00:00:00,621.0,635.0,611.7,627.96,31454.0,backfill_api
2025-05-06 00:00:00,640.0,640.5,615.7,619.78,16025.0,backfill_api
2025-05-07 00:00:00,632.0,637.9,608.1,631.15,9558.0,backfill_api
2025-05-08 00:00:00,643.7,654.7,613.0,634.36,16142.0,backfill_api
2025-05-11 00:00:00,646.5,658.1,612.0,639.88,17233.0,backfill_api
2025-05-13 00:00:00,639.0,660.0,620.0,620.31,8494.0,backfill_api
2025-05-14 00:00:00,630.0,644.9,605.0,609.75,4076.0,backfill_api
2025-05-15 00:00:00,601.0,615.0,601.0,607.43,6127.0,backfill_api
2025-05-18 00:00:00,595.5,599.0,583.1,585.26,7044.0,backfill_api
2025-05-19 00:00:00,596.0,596.0,568.0,570.69,13120.0,backfill_api
2025-05-20 00:00:00,561.0,582.1,561.0,575.89,11001.0,backfill_api
2025-05-21 00:00:00,587.0,610.6,565.0,566.72,7591.0,backfill_api
2025-05-22 00:00:00,578.0,578.0,535.0,551.11,6512.0,backfill_api
2025-05-25 00:00:00,540.1,565.0,530.5,549.66,4339.0,backfill_api
2025-05-26 00:00:00,560.6,600.0,556.0,559.48,9089.0,backfill_api
2025-05-27 00:00:00,550.0,613.0,550.0,602.91,14660.0,backfill_api
2025-05-28 00:00:00,614.9,617.0,591.0,601.81,10690.0,backfill_api
2025-06-02 00:00:00,600.0,602.0,582.6,583.86,5008.0,backfill_api
2025-06-03 00:00:00,573.0,577.0,558.0,564.73,5891.0,backfill_api
2025-06-04 00:00:00,558.1,569.0,557.9,559.46,2523.0,backfill_api
2025-06-05 00:00:00,560.0,570.6,550.0,552.57,4611.0,backfill_api
2025-06-08 00:00:00,548.0,550.0,540.0,541.87,17611.0,backfill_api
2025-06-09 00:00:00,552.7,581.4,541.0,577.41,12024.0,backfill_api
2025-06-10 00:00:00,588.9,588.9,566.0,580.21,5935.0,backfill_api
2025-06-11 00:00:00,590.0,590.0,558.6,569.34,8376.0,backfill_api
2025-06-12 00:00:00,561.0,592.0,559.0,559.46,13857.0,backfill_api
2025-06-15 00:00:00,557.1,570.0,557.1,560.45,16220.0,backfill_api
2025-06-16 00:00:00,551.1,561.0,508.5,517.99,56746.0,backfill_api
2025-06-17 00:00:00,518.2,559.0,518.2,545.35,18944.0,backfill_api
2025-06-18 00:00:00,550.0,556.2,544.1,545.13,14835.0,backfill_api
2025-06-19 00:00:00,545.0,557.7,537.0,546.39,18664.0,backfill_api
2025-06-22 00:00:00,557.0,557.0,535.0,537.97,7082.0,backfill_api
2025-06-23 00:00:00,532.2,539.0,530.0,531.44,4393.0,backfill_api
2025-06-24 00:00:00,542.0,545.0,520.0,523.86,7743.0,backfill_api
2025-06-25 00:00:00,530.0,530.0,517.4,523.27,5790.0,backfill_api
2025-06-26 00:00:00,533.0,536.0,514.0,529.45,9245.0,backfill_api
2025-06-29 00:00:00,520.0,533.4,520.0,531.04,5072.0,backfill_api
2025-06-30 00:00:00,541.5,541.5,530.0,531.51,4910.0,backfill_api
2025-07-01 00:00:00,525.0,539.6,525.0,533.07,3489.0,backfill_api
2025-07-02 00:00:00,539.9,551.0,535.1,544.97,19891.0,backfill_api
2025-07-03 00:00:00,543.0,554.8,536.5,551.2,16790.0,backfill_api
2025-07-06 00:00:00,552.0,586.5,542.2,579.73,25367.0,backfill_api
2025-07-07 00:00:00,590.9,590.9,557.0,564.48,7859.0,backfill_api
2025-07-08 00:00:00,564.0,569.0,552.5,553.32,4453.0,backfill_api
2025-07-09 00:00:00,554.0,569.9,552.0,559.34,11805.0,backfill_api
2025-07-10 00:00:00,551.0,569.9,550.5,558.81,8378.0,backfill_api
2025-07-13 00:00:00,569.9,570.0,545.0,552.05,18126.0,backfill_api
2025-07-14 00:00:00,558.5,558.5,546.0,548.66,14159.0,backfill_api
2025-07-15 00:00:00,550.0,567.0,543.5,554.27,15679.0,backfill_api
2025-07-16 00:00:00,544.0,605.8,540.0,600.29,147033.0,backfill_api
2025-07-17 00:00:00,612.2,630.0,597.9,624.07,51087.0,backfill_api
2025-07-20 00:00:00,615.0,625.0,605.0,607.87,94612.0,backfill_api
2025-07-21 00:00:00,601.0,615.0,595.8,609.87,45432.0,backfill_api
2025-07-22 00:00:00,622.0,645.0,610.2,643.3,45773.0,backfill_api
2025-07-23 00:00:00,656.1,656.1,635.0,642.51,56363.0,backfill_api
2025-07-24 00:00:00,636.0,655.0,636.0,648.37,41900.0,backfill_api
2025-07-27 00:00:00,655.0,659.7,621.0,625.0,61259.0,backfill_api
2025-07-28 00:00:00,625.0,630.0,616.0,619.37,26956.0,backfill_api
2025-07-29 00:00:00,607.0,669.0,607.0,642.47,89154.0,backfill_api
2025-07-30 00:00:00,629.7,654.0,628.3,629.95,22746.0,backfill_api
2025-07-31 00:00:00,629.0,637.0,618.0,620.42,18200.0,backfill_api
2025-08-03 00:00:00,608.1,620.0,597.0,601.92,28627.0,backfill_api
2025-08-04 00:00:00,600.0,612.0,590.0,606.47,22791.0,backfill_api
2025-08-05 00:00:00,609.0,610.0,585.0,589.54,20176.0,backfill_api
2025-08-06 00:00:00,601.3,601.3,580.0,580.6,10376.0,backfill_api
2025-08-07 00:00:00,580.8,594.0,580.0,589.1,14474.0,backfill_api
2025-08-11 00:00:00,586.0,595.0,584.0,588.32,18118.0,backfill_api
2025-08-12 00:00:00,585.6,586.1,580.0,585.64,12947.0,backfill_api
2025-08-13 00:00:00,580.1,591.0,580.0,581.15,17593.0,backfill_api
2025-08-14 00:00:00,575.1,588.8,575.1,580.06,14762.0,backfill_api
2025-08-17 00:00:00,585.0,618.0,585.0,613.45,41812.0,backfill_api
2025-08-18 00:00:00,620.0,624.0,610.1,612.06,24281.0,backfill_api
2025-08-19 00:00:00,615.0,624.2,606.2,612.13,14305.0,backfill_api
2025-08-20 00:00:00,610.0,617.0,590.0,591.29,11533.0,backfill_api
2025-08-21 00:00:00,582.0,602.6,582.0,596.81,13402.0,backfill_api
2025-08-24 00:00:00,599.0,603.9,592.1,593.38,9834.0,backfill_api
2025-08-25 00:00:00,590.0,600.0,590.0,598.26,5444.0,backfill_api
2025-08-26 00:00:00,592.5,604.6,592.2,596.38,5076.0,backfill_api
2025-08-27 00:00:00,595.0,610.0,590.2,606.15,14167.0,backfill_api
2025-08-28 00:00:00,596.1,614.0,596.0,596.53,15947.0,backfill_api
2025-08-31 00:00:00,584.6,601.9,584.6,591.01,12695.0,backfill_api
2025-09-01 00:00:00,581.3,596.8,580.5,586.8,11042.0,backfill_api
