date,open,high,low,close,volume,source
2025-02-25,5077.4,5077.4,4662.9,5077.4,7901.0,backfill_api
2025-02-27,5178.0,5178.0,4569.7,4760.0,5116.0,backfill_api
2025-03-02,4664.8,5000.0,4284.1,5000.0,4450.0,backfill_api
2025-03-03,5100.0,5100.0,4500.0,4638.0,1839.0,backfill_api
2025-03-04,4545.3,4973.0,4174.2,4420.0,14655.0,backfill_api
2025-03-05,4331.6,4331.6,3978.0,4210.0,8753.0,backfill_api
2025-03-06,4125.8,4630.0,3789.0,4630.0,13157.0,backfill_api
2025-03-09,4537.4,4814.0,4167.0,4167.0,9088.0,backfill_api
2025-03-10,4083.7,4144.0,3750.3,3876.0,12163.0,backfill_api
2025-03-11,3798.5,4030.0,3700.6,3798.0,2379.0,backfill_api
2025-03-12,3723.0,3953.0,3715.0,3770.0,3851.0,backfill_api
2025-03-16,3694.6,3997.0,3680.0,3700.0,4811.0,backfill_api
2025-03-17,3626.0,3900.0,3626.0,3780.0,4066.0,backfill_api
2025-03-18,3704.4,4008.0,3631.0,3774.0,7504.0,backfill_api
2025-03-19,3698.6,3800.0,3563.0,3670.0,2454.0,backfill_api
2025-03-20,3670.0,3670.0,3540.0,3577.88,2678.0,backfill_api
2025-03-23,3649.0,3649.0,3315.4,3416.88,6407.0,backfill_api
2025-03-24,3348.6,3757.0,3280.0,3692.6,9848.0,backfill_api
2025-03-25,3700.0,3700.0,3349.1,3693.58,8856.0,backfill_api
2025-03-26,3767.4,3767.4,3324.3,3431.75,10992.0,backfill_api
2025-03-27,3365.0,3500.0,3298.0,3453.44,5803.0,backfill_api
2025-03-30,3384.4,3660.0,3302.0,3416.15,11430.0,backfill_api
2025-04-01,3347.9,3414.0,3240.1,3277.72,3239.0,backfill_api
2025-04-02,3212.2,3605.0,3122.0,3582.25,10091.0,backfill_api
2025-04-03,3653.0,3653.0,3224.1,3301.06,8857.0,backfill_api
2025-04-07,3235.1,3566.0,3121.0,3243.4,11182.0,backfill_api
2025-04-08,3185.0,3248.0,3134.0,3180.52,4084.0,backfill_api
2025-04-09,3125.0,3255.0,3125.0,3192.91,2858.0,backfill_api
2025-04-10,3200.0,3250.0,3150.0,3235.39,5625.0,backfill_api
2025-04-13,3172.0,3274.0,3172.0,3227.79,3792.0,backfill_api
2025-04-15,3170.0,3305.0,3170.0,3291.05,2884.0,backfill_api
2025-04-16,3225.3,3333.3,3225.3,3318.25,12485.0,backfill_api
2025-04-17,3260.0,3400.0,3260.0,3385.64,6418.0,backfill_api
2025-04-20,3318.0,3443.0,3315.0,3372.87,6011.0,backfill_api
2025-04-21,3305.5,3409.9,3305.5,3388.68,4384.0,backfill_api
2025-04-22,3321.6,3400.0,3302.0,3361.34,2287.0,backfill_api
2025-04-23,3350.0,3370.0,3202.7,3225.53,2175.0,backfill_api
2025-04-24,3226.0,3243.6,3110.0,3152.95,2943.0,backfill_api
2025-04-27,3155.0,3200.0,3054.0,3125.53,5870.0,backfill_api
2025-04-28,3065.0,3117.9,3063.1,3071.23,2242.0,backfill_api
2025-04-29,3122.0,3122.0,2943.3,2975.18,2240.0,backfill_api
2025-04-30,2993.9,3014.9,2931.0,3000.67,3041.0,backfill_api
2025-05-04,3050.0,3120.0,3000.0,3099.35,6359.0,backfill_api
2025-05-05,3038.0,3300.0,2958.0,3007.5,7863.0,backfill_api
2025-05-06,3007.5,3067.0,2956.0,2998.9,4216.0,backfill_api
2025-05-07,2946.0,3040.0,2940.0,2975.02,3937.0,backfill_api
2025-05-08,2955.0,3060.0,2955.0,3025.6,2925.0,backfill_api
2025-05-11,3000.0,3061.0,3000.0,3051.99,1907.0,backfill_api
2025-05-13,3051.99,3065.0,3000.0,3043.17,2742.0,backfill_api
2025-05-14,3040.0,3264.0,3040.0,3235.18,7360.0,backfill_api
2025-05-15,3180.0,3550.0,3121.0,3546.38,19687.0,backfill_api
2025-05-18,3500.0,3500.0,3301.0,3364.63,5108.0,backfill_api
2025-05-19,3310.5,3384.6,3251.0,3372.56,5613.0,backfill_api
2025-05-20,3306.0,3427.0,3270.0,3418.78,7188.0,backfill_api
2025-05-21,3360.0,3760.0,3335.0,3447.35,9700.0,backfill_api
2025-05-22,3378.5,3500.0,3300.0,3491.25,8496.0,backfill_api
2025-05-25,3421.5,3528.0,3400.0,3520.41,6842.0,backfill_api
2025-05-26,3450.1,3770.0,3400.0,3738.29,9804.0,backfill_api
2025-05-27,3663.6,3663.6,3381.0,3559.2,13711.0,backfill_api
2025-05-28,3488.1,3700.0,3351.0,3473.7,6873.0,backfill_api
2025-06-02,3404.3,3611.0,3360.0,3402.88,3376.0,backfill_api
2025-06-03,3334.9,3599.0,3300.0,3592.89,17838.0,backfill_api
2025-06-04,3664.0,3664.0,3360.0,3470.71,3429.0,backfill_api
2025-06-05,3401.3,3781.0,3351.0,3697.76,9261.0,backfill_api
2025-06-08,3623.9,3623.9,3328.0,3453.09,6647.0,backfill_api
2025-06-09,3384.1,3589.0,3300.0,3418.44,3272.0,backfill_api
2025-06-10,3352.0,3399.0,3275.0,3328.12,3976.0,backfill_api
2025-06-11,3262.0,3324.0,3205.0,3211.4,3351.0,backfill_api
2025-06-12,3274.0,3275.0,3200.0,3211.39,3594.0,backfill_api
2025-06-15,3273.0,3273.0,3212.0,3226.83,2728.0,backfill_api
2025-06-16,3180.0,3264.0,3100.0,3235.28,2889.0,backfill_api
2025-06-17,3270.0,3298.0,3216.0,3284.47,5152.0,backfill_api
2025-06-18,3290.0,3320.0,3261.0,3301.07,4082.0,backfill_api
2025-06-19,3251.1,3298.0,3251.1,3295.93,6497.0,backfill_api
2025-06-22,3308.1,3308.1,3165.5,3170.5,378.0,backfill_api
