date,open,high,low,close,volume,source
2025-02-27,300.9,307.8,295.9,306.9,211118.0,backfill_api
2025-03-02,307.0,317.0,307.0,314.7,367378.0,backfill_api
2025-03-03,318.9,319.9,309.1,310.0,281839.0,backfill_api
2025-03-04,303.8,329.9,303.8,327.8,846960.0,backfill_api
2025-03-05,332.0,332.0,322.2,323.9,405245.0,backfill_api
2025-03-06,325.0,325.8,320.0,321.0,226266.0,backfill_api
2025-03-09,321.0,322.7,310.3,312.0,291803.0,backfill_api
2025-03-10,311.0,317.0,308.0,311.0,212208.0,backfill_api
2025-03-11,314.0,314.0,301.0,304.9,174192.0,backfill_api
2025-03-12,310.9,313.3,304.0,308.0,157978.0,backfill_api
2025-03-16,305.0,308.0,300.0,302.9,160584.0,backfill_api
2025-03-17,308.9,308.9,299.0,301.0,142984.0,backfill_api
2025-03-18,303.9,309.0,301.0,303.8,130284.0,backfill_api
2025-03-19,301.3,305.9,298.4,300.9,56576.0,backfill_api
2025-03-20,300.0,303.0,297.0,298.11,103494.0,backfill_api
2025-03-23,298.2,299.9,284.1,285.05,161896.0,backfill_api
2025-03-24,288.6,294.7,281.1,288.77,92581.0,backfill_api
2025-03-25,284.0,287.0,277.5,278.13,115241.0,backfill_api
2025-03-26,283.6,286.4,278.0,282.46,117263.0,backfill_api
2025-03-27,282.0,291.0,282.0,285.23,129055.0,backfill_api
2025-03-30,286.0,296.5,286.0,292.1,152992.0,backfill_api
2025-04-01,292.1,296.9,285.0,286.87,206669.0,backfill_api
2025-04-02,283.2,291.6,283.2,287.84,102450.0,backfill_api
2025-04-03,290.0,299.0,290.0,295.69,179208.0,backfill_api
2025-04-07,295.0,305.0,291.0,297.46,279616.0,backfill_api
2025-04-08,292.1,301.9,292.0,297.29,101329.0,backfill_api
2025-04-09,303.2,303.2,295.0,296.48,54091.0,backfill_api
2025-04-10,301.0,305.0,295.0,303.33,178232.0,backfill_api
2025-04-13,304.0,308.0,300.0,306.67,178308.0,backfill_api
2025-04-15,308.0,317.0,304.9,307.59,291847.0,backfill_api
2025-04-16,305.3,323.3,305.3,320.84,509154.0,backfill_api
2025-04-17,320.0,328.0,318.5,319.82,481374.0,backfill_api
2025-04-20,324.9,324.9,312.9,316.41,269380.0,backfill_api
2025-04-21,322.7,348.0,316.0,347.42,1545179.0,backfill_api
2025-04-22,354.3,361.0,336.0,337.96,849089.0,backfill_api
2025-04-23,338.0,339.0,327.1,333.07,509883.0,backfill_api
2025-04-24,339.7,360.0,323.0,357.05,1347497.0,backfill_api
2025-04-27,364.0,379.9,361.0,372.77,1153293.0,backfill_api
2025-04-28,379.9,379.9,351.2,354.86,1056990.0,backfill_api
2025-04-29,361.0,369.9,349.9,357.19,656071.0,backfill_api
2025-04-30,364.0,385.0,357.2,368.82,871497.0,backfill_api
2025-05-04,362.0,375.0,351.6,354.11,645039.0,backfill_api
2025-05-05,347.1,380.0,347.1,378.72,1278695.0,backfill_api
2025-05-06,386.2,399.0,382.7,395.57,919866.0,backfill_api
2025-05-07,396.0,405.0,387.3,403.64,1074060.0,backfill_api
2025-05-08,409.0,434.9,396.0,418.36,1359793.0,backfill_api
2025-05-11,420.0,438.0,420.0,423.65,1278969.0,backfill_api
2025-05-13,422.0,445.0,418.0,439.43,1546489.0,backfill_api
2025-05-14,445.0,445.0,408.0,413.96,1214448.0,backfill_api
2025-05-15,413.0,427.0,411.9,415.72,799949.0,backfill_api
2025-05-18,424.0,424.0,386.0,390.38,1100277.0,backfill_api
2025-05-19,392.9,404.9,388.1,398.68,628841.0,backfill_api
2025-05-20,398.0,423.3,390.1,420.44,772131.0,backfill_api
2025-05-21,428.8,440.0,418.0,421.3,1014761.0,backfill_api
2025-05-22,429.7,434.8,411.6,413.41,963516.0,backfill_api
2025-05-25,413.0,427.0,413.0,416.22,722426.0,backfill_api
2025-05-26,424.5,435.0,418.0,427.59,1059332.0,backfill_api
2025-05-27,428.0,461.0,422.0,454.94,1434341.0,backfill_api
2025-05-28,460.0,470.1,444.0,452.6,1109549.0,backfill_api
2025-06-02,459.9,464.0,443.0,445.35,1197714.0,backfill_api
2025-06-03,448.0,455.0,440.0,441.4,924299.0,backfill_api
2025-06-04,442.0,448.0,434.1,440.27,469364.0,backfill_api
2025-06-05,437.0,471.0,437.0,468.62,1405405.0,backfill_api
2025-06-08,468.0,489.0,465.2,470.51,1303525.0,backfill_api
2025-06-09,479.0,479.0,461.2,469.57,1165419.0,backfill_api
2025-06-10,478.0,478.0,461.0,462.32,688701.0,backfill_api
2025-06-11,470.0,485.5,462.0,472.46,1010657.0,backfill_api
2025-06-12,480.0,486.3,465.0,466.85,1030260.0,backfill_api
2025-06-15,458.0,475.0,458.0,461.2,987173.0,backfill_api
2025-06-16,467.0,475.0,452.2,453.84,1039273.0,backfill_api
2025-06-17,462.8,462.8,446.1,455.8,580906.0,backfill_api
2025-06-18,447.0,462.9,447.0,449.33,461353.0,backfill_api
2025-06-19,458.3,459.0,430.0,433.19,688703.0,backfill_api
2025-06-22,424.6,439.0,410.7,412.46,612555.0,backfill_api
2025-06-23,420.2,428.4,405.0,417.81,598232.0,backfill_api
2025-06-24,409.5,432.0,409.5,412.28,297829.0,backfill_api
2025-06-25,418.0,418.0,405.0,409.49,283820.0,backfill_api
2025-06-26,412.0,420.0,400.3,401.87,435415.0,backfill_api
2025-06-29,402.0,406.0,393.0,394.41,374284.0,backfill_api
2025-06-30,386.6,410.5,386.6,406.36,424616.0,backfill_api
2025-07-01,404.0,419.4,404.0,417.86,268202.0,backfill_api
2025-07-02,417.9,425.5,406.0,407.54,369378.0,backfill_api
2025-07-03,410.0,410.0,400.0,400.59,275183.0,backfill_api
2025-07-06,400.1,404.0,394.0,395.49,261892.0,backfill_api
2025-07-07,387.6,400.0,385.0,386.2,284187.0,backfill_api
2025-07-08,388.1,404.8,382.1,397.53,296313.0,backfill_api
2025-07-09,405.4,415.9,401.5,409.06,289056.0,backfill_api
2025-07-10,415.0,419.9,405.0,405.92,371402.0,backfill_api
2025-07-13,414.0,422.0,395.0,395.68,301358.0,backfill_api
2025-07-14,403.0,408.0,392.0,394.77,300968.0,backfill_api
2025-07-15,402.6,409.7,395.0,406.44,316534.0,backfill_api
2025-07-16,414.0,414.0,400.7,403.87,322119.0,backfill_api
2025-07-17,409.9,429.0,409.0,426.42,584864.0,backfill_api
2025-07-20,427.0,439.0,417.5,419.55,557949.0,backfill_api
2025-07-21,420.0,432.4,416.7,430.29,510520.0,backfill_api
2025-07-22,421.8,443.7,421.8,435.03,465698.0,backfill_api
2025-07-23,432.0,442.0,427.0,437.94,448854.0,backfill_api
2025-07-24,429.3,457.7,429.3,451.36,620533.0,backfill_api
2025-07-27,460.0,463.0,435.0,437.19,735758.0,backfill_api
2025-07-28,445.9,445.9,429.0,432.41,409354.0,backfill_api
2025-07-29,433.0,444.0,427.0,431.63,298469.0,backfill_api
2025-07-30,423.0,439.9,422.0,423.68,332627.0,backfill_api
2025-07-31,430.0,431.9,416.1,419.2,300000.0,backfill_api
2025-08-03,410.9,424.9,410.9,415.36,193496.0,backfill_api
2025-08-04,422.0,422.0,411.1,415.93,184356.0,backfill_api
2025-08-05,424.0,424.0,404.1,405.62,213709.0,backfill_api
2025-08-06,406.0,413.9,405.0,408.18,117008.0,backfill_api
2025-08-07,413.0,415.0,407.2,409.06,140401.0,backfill_api
2025-08-11,411.0,413.0,400.9,401.54,147014.0,backfill_api
2025-08-12,408.0,408.0,395.0,395.41,158263.0,backfill_api
2025-08-13,399.0,406.8,394.2,398.74,90911.0,backfill_api
2025-08-14,403.8,406.0,398.0,403.79,125211.0,backfill_api
2025-08-17,411.8,411.8,396.0,396.64,121257.0,backfill_api
2025-08-18,399.8,404.8,393.1,403.66,117519.0,backfill_api
2025-08-19,409.9,409.9,400.0,400.76,110299.0,backfill_api
2025-08-20,393.0,405.0,393.0,395.25,98189.0,backfill_api
2025-08-21,400.0,400.0,388.0,389.15,98292.0,backfill_api
2025-08-24,381.4,396.7,381.4,382.97,104029.0,backfill_api
2025-08-25,385.9,390.0,380.0,388.79,98906.0,backfill_api
2025-08-26,390.0,395.0,386.1,388.16,47037.0,backfill_api
2025-08-27,395.9,402.0,388.1,400.03,133885.0,backfill_api
2025-08-28,400.5,406.0,390.1,391.52,179721.0,backfill_api
2025-08-31,393.9,393.9,383.1,383.69,104881.0,backfill_api
2025-09-01,385.0,391.3,383.0,387.46,71367.0,backfill_api
2025-09-02,393.0,393.0,381.4,381.95,56337.0,backfill_api
2025-09-03,382.0,386.0,380.4,380.76,88143.0,backfill_api
2025-09-04,381.1,385.0,376.7,381.13,106352.0,backfill_api
2025-09-07,382.1,403.0,382.1,400.63,328299.0,backfill_api
2025-09-08,400.7,419.0,399.0,412.82,564543.0,backfill_api
2025-09-18,405.0,405.0,371.6,382.0,81236.0,backfill_api
2025-09-21,380.0,410.0,380.0,404.26,294444.0,backfill_api
2025-09-23,408.9,416.8,402.2,414.5,445580.0,backfill_api
2025-09-24,387.0,395.0,385.0,387.5,230674.0,backfill_api
2025-09-25,390.0,390.0,382.1,382.1,82715.0,backfill_api
2025-09-28,384.0,389.6,378.0,389.0,126102.0,backfill_api
2025-10-07,390.7,391.8,375.4,375.4,113099.0,backfill_api
2025-10-08,375.0,381.0,358.4,362.0,233334.0,backfill_api
2025-10-09,369.2,385.0,363.0,363.2,164489.0,backfill_api
2025-10-12,366.0,366.0,348.0,350.2,155729.0,backfill_api
2025-10-13,345.2,369.9,345.0,365.0,192572.0,backfill_api
2025-10-14,369.0,371.5,352.8,360.0,121879.0,backfill_api
2025-10-15,353.0,360.0,348.3,351.0,98063.0,backfill_api
2025-10-16,354.9,355.9,345.3,349.0,111217.0,backfill_api
2025-10-19,349.0,355.9,343.1,350.0,82730.0,backfill_api
2025-10-26,345.1,353.9,345.1,349.2,52485.0,backfill_api
2025-10-28,352.9,370.0,345.1,365.3,132302.0,backfill_api
2025-10-29,364.0,378.9,360.9,363.5,151351.0,backfill_api
2025-10-30,370.7,385.0,358.3,384.0,369523.0,backfill_api
2025-11-02,390.0,392.7,376.0,384.0,253217.0,backfill_api
2025-11-03,382.0,392.0,378.5,380.0,226375.0,backfill_api
2025-11-04,380.2,387.0,372.0,375.0,186504.0,backfill_api
2025-11-05,382.5,382.5,368.0,377.0,137967.0,backfill_api
2025-11-06,381.0,386.5,372.0,374.8,202656.0,backfill_api
2025-11-09,377.9,378.0,365.1,369.0,102733.0,backfill_api
2025-11-10,376.3,376.3,362.1,366.0,71022.0,backfill_api
2025-11-11,373.3,373.3,364.0,367.9,85923.0,backfill_api
2025-11-12,375.2,375.2,360.2,361.3,49287.0,backfill_api
2025-11-13,355.0,365.8,355.0,363.4,52611.0,backfill_api
2025-11-16,361.0,362.0,357.2,358.0,100334.0,backfill_api
2025-11-17,362.9,367.5,356.5,364.9,60907.0,backfill_api
2025-11-18,368.0,371.0,364.0,367.0,95705.0,backfill_api
2025-11-19,370.0,370.0,362.5,363.0,48450.0,backfill_api
2025-11-20,370.2,370.2,358.5,361.8,83537.0,backfill_api
2025-11-23,360.0,375.7,360.0,372.0,155903.0,backfill_api
2025-11-24,372.0,378.9,372.0,375.0,149950.0,backfill_api
