date,open,high,low,close,volume,source
2025-02-27,673.0,697.0,656.7,696.0,39363.0,backfill_api
2025-03-02,700.0,700.0,672.3,684.0,16156.0,backfill_api
2025-03-03,686.0,686.0,655.0,675.1,23003.0,backfill_api
2025-03-04,670.0,675.0,655.0,655.0,23352.0,backfill_api
2025-03-05,645.0,691.0,645.0,674.0,21986.0,backfill_api
2025-03-06,670.0,678.0,661.0,678.0,7626.0,backfill_api
2025-03-09,665.0,668.0,645.0,663.9,12015.0,backfill_api
2025-03-10,651.0,664.0,627.5,660.0,18642.0,backfill_api
2025-03-11,673.2,673.2,620.0,640.0,17640.0,backfill_api
2025-03-12,628.1,641.6,626.0,639.7,17307.0,backfill_api
2025-03-16,630.0,650.0,612.0,630.0,23988.0,backfill_api
2025-03-17,630.0,631.0,607.0,630.9,5394.0,backfill_api
2025-03-18,630.9,680.0,609.5,610.0,28430.0,backfill_api
2025-03-19,622.0,641.0,613.0,625.0,22928.0,backfill_api
2025-03-20,616.0,630.0,607.0,621.44,14952.0,backfill_api
2025-03-23,610.0,612.1,576.3,587.52,19420.0,backfill_api
2025-03-24,577.0,600.0,577.0,592.07,8308.0,backfill_api
2025-03-25,590.0,596.0,563.5,579.84,13898.0,backfill_api
2025-03-26,570.0,600.0,570.0,597.64,7390.0,backfill_api
2025-03-27,585.7,620.0,574.0,596.73,7286.0,backfill_api
2025-03-30,585.0,623.2,585.0,612.26,15431.0,backfill_api
2025-04-01,605.0,623.9,594.0,600.32,7755.0,backfill_api
2025-04-02,590.0,613.5,590.0,610.62,8821.0,backfill_api
2025-04-03,600.0,614.0,596.0,610.08,14230.0,backfill_api
2025-04-07,599.1,619.0,591.5,595.03,2643.0,backfill_api
2025-04-08,586.0,597.0,580.1,589.86,3687.0,backfill_api
2025-04-09,583.1,600.7,570.0,575.97,21109.0,backfill_api
2025-04-10,587.0,589.9,573.0,576.94,4353.0,backfill_api
2025-04-13,570.0,570.1,558.0,562.55,8556.0,backfill_api
2025-04-15,573.8,575.0,540.0,544.08,57430.0,backfill_api
2025-04-16,554.0,563.0,538.0,556.29,25241.0,backfill_api
2025-04-17,547.1,574.0,547.1,566.94,10608.0,backfill_api
2025-04-20,567.0,567.0,542.0,546.7,13008.0,backfill_api
2025-04-21,557.6,557.6,529.0,542.78,14820.0,backfill_api
2025-04-22,542.0,550.0,536.0,539.91,27532.0,backfill_api
2025-04-23,529.2,549.9,529.2,530.73,8216.0,backfill_api
2025-04-24,521.0,541.3,507.0,517.82,48701.0,backfill_api
2025-04-27,528.1,535.0,486.0,495.75,36102.0,backfill_api
2025-04-28,485.9,514.0,485.0,488.4,19116.0,backfill_api
2025-04-29,487.0,489.2,462.6,477.87,25642.0,backfill_api
2025-04-30,478.0,487.0,462.1,476.3,34761.0,backfill_api
2025-05-04,477.0,523.9,477.0,523.15,45961.0,backfill_api
2025-05-05,533.6,550.0,524.0,548.07,47706.0,backfill_api
2025-05-06,554.0,562.9,524.3,538.68,43129.0,backfill_api
2025-05-07,530.0,538.0,521.0,533.03,24971.0,backfill_api
2025-05-08,535.0,535.0,512.8,520.12,26289.0,backfill_api
2025-05-11,530.5,530.5,497.0,499.58,19995.0,backfill_api
2025-05-13,499.0,519.0,485.5,489.57,9883.0,backfill_api
2025-05-14,482.0,519.0,482.0,493.49,15855.0,backfill_api
2025-05-15,502.8,508.0,481.2,484.45,11847.0,backfill_api
2025-05-18,478.0,502.9,474.0,475.91,15881.0,backfill_api
2025-05-19,476.0,485.0,468.0,471.58,12276.0,backfill_api
2025-05-20,476.0,493.6,470.1,489.25,10269.0,backfill_api
2025-05-21,499.0,508.0,483.0,485.63,16559.0,backfill_api
2025-05-22,485.0,486.0,476.3,478.31,6123.0,backfill_api
2025-05-25,475.0,485.0,473.0,475.24,6881.0,backfill_api
2025-05-26,484.7,502.0,470.0,471.31,7836.0,backfill_api
2025-05-27,462.0,484.6,462.0,468.94,9465.0,backfill_api
2025-05-28,478.0,479.0,460.0,462.6,12111.0,backfill_api
2025-06-02,471.8,481.2,446.0,455.23,15217.0,backfill_api
2025-06-03,460.0,460.0,436.3,440.34,22967.0,backfill_api
2025-06-04,435.0,441.0,428.4,429.08,21585.0,backfill_api
2025-06-05,421.1,445.1,421.1,431.98,22057.0,backfill_api
2025-06-08,440.0,448.8,422.0,425.34,20155.0,backfill_api
2025-06-09,420.1,450.0,420.0,445.9,30914.0,backfill_api
2025-06-10,445.0,467.0,445.0,459.6,35135.0,backfill_api
2025-06-11,452.2,458.0,436.0,447.92,13746.0,backfill_api
2025-06-12,451.0,456.0,440.0,441.81,26321.0,backfill_api
2025-06-15,449.9,449.9,431.0,433.98,27245.0,backfill_api
2025-06-16,435.2,441.9,434.0,435.14,15560.0,backfill_api
2025-06-17,443.0,443.0,431.2,439.21,6167.0,backfill_api
2025-06-18,447.9,447.9,430.3,436.81,8018.0,backfill_api
2025-06-19,440.0,444.0,430.0,431.11,15049.0,backfill_api
2025-06-22,432.0,436.0,422.5,425.32,10893.0,backfill_api
2025-06-23,421.1,432.1,421.0,428.89,6023.0,backfill_api
2025-06-24,422.0,437.0,421.0,421.21,10873.0,backfill_api
2025-06-25,429.4,429.4,422.0,425.22,10316.0,backfill_api
2025-06-26,425.0,430.4,410.0,417.78,24843.0,backfill_api
2025-06-29,416.0,430.0,416.0,425.32,14199.0,backfill_api
2025-06-30,432.0,432.0,420.5,429.46,7031.0,backfill_api
2025-07-01,422.1,435.0,422.1,428.0,10694.0,backfill_api
2025-07-02,425.2,462.0,425.2,451.25,45781.0,backfill_api
2025-07-03,443.0,459.0,443.0,446.58,20825.0,backfill_api
2025-07-06,439.5,455.5,438.0,453.91,27026.0,backfill_api
2025-07-07,450.0,458.0,435.0,437.04,12623.0,backfill_api
2025-07-08,437.0,446.0,436.2,440.18,15666.0,backfill_api
