date,open,high,low,close,volume,source
2025-02-24,830.0,830.0,807.5,821.0,7894.0,backfill_api
2025-02-25,808.6,829.6,805.0,815.0,2928.0,backfill_api
2025-02-27,806.3,821.1,801.2,805.2,3935.0,backfill_api
2025-03-02,805.4,819.0,798.0,804.0,7999.0,backfill_api
2025-03-03,818.0,818.0,800.0,809.0,7931.0,backfill_api
2025-03-04,815.0,815.0,784.0,797.0,7101.0,backfill_api
2025-03-05,797.0,797.0,782.0,793.0,4148.0,backfill_api
2025-03-06,794.0,810.0,776.0,776.0,5173.0,backfill_api
2025-03-09,765.0,791.5,765.0,779.0,4718.0,backfill_api
2025-03-10,778.0,780.9,770.0,780.9,4568.0,backfill_api
2025-03-11,770.0,785.0,766.0,767.0,5216.0,backfill_api
2025-03-12,767.0,779.9,765.0,769.0,5390.0,backfill_api
2025-03-16,770.0,774.9,751.0,751.0,3543.0,backfill_api
2025-03-17,751.0,765.0,748.0,758.9,2156.0,backfill_api
2025-03-18,746.0,787.0,746.0,752.2,1380.0,backfill_api
2025-03-19,752.2,755.0,742.1,749.0,3673.0,backfill_api
2025-03-20,735.1,759.9,735.1,748.94,3080.0,backfill_api
2025-03-23,740.0,763.5,731.0,744.98,3369.0,backfill_api
2025-03-24,740.0,756.9,731.0,755.01,2216.0,backfill_api
2025-03-25,770.0,770.0,725.0,725.02,3730.0,backfill_api
2025-03-26,735.0,754.1,728.1,730.43,1403.0,backfill_api
2025-03-27,721.9,744.5,721.9,731.33,1432.0,backfill_api
2025-03-30,735.0,760.0,735.0,746.63,2634.0,backfill_api
2025-04-01,750.0,750.0,734.1,736.86,1926.0,backfill_api
2025-04-02,730.3,749.9,730.3,745.63,1237.0,backfill_api
2025-04-03,745.0,750.0,737.1,737.6,810.0,backfill_api
2025-04-07,732.1,750.0,730.0,736.57,2702.0,backfill_api
2025-04-08,726.4,737.0,726.0,729.74,1080.0,backfill_api
2025-04-09,721.0,744.3,721.0,724.27,1221.0,backfill_api
2025-04-10,738.7,740.0,709.9,712.87,3544.0,backfill_api
2025-04-13,700.2,714.0,700.0,700.09,2929.0,backfill_api
2025-04-15,700.0,730.0,700.0,714.42,2080.0,backfill_api
2025-04-16,715.0,725.0,705.0,709.54,2487.0,backfill_api
2025-04-17,710.0,729.3,703.4,716.12,3728.0,backfill_api
2025-04-20,705.8,730.4,705.8,710.26,1849.0,backfill_api
2025-04-21,702.1,742.0,690.0,710.0,3459.0,backfill_api
2025-04-22,724.1,724.1,700.0,703.11,1175.0,backfill_api
2025-04-23,700.0,721.1,693.3,701.13,754.0,backfill_api
2025-04-24,690.9,714.8,690.9,704.68,660.0,backfill_api
2025-04-27,704.0,715.0,690.0,692.31,2642.0,backfill_api
2025-04-28,692.0,711.9,671.3,674.49,3668.0,backfill_api
2025-04-29,667.1,700.0,660.1,664.89,3490.0,backfill_api
2025-04-30,653.1,666.0,653.1,654.03,3405.0,backfill_api
2025-05-04,644.2,678.0,638.0,653.12,3990.0,backfill_api
2025-05-05,642.1,660.0,641.0,656.03,2680.0,backfill_api
2025-05-06,657.0,664.0,653.0,658.08,719.0,backfill_api
2025-05-07,651.09,670.0,651.09,663.29,1968.0,backfill_api
2025-05-08,664.0,678.0,652.0,668.27,2998.0,backfill_api
2025-05-11,657.0,695.0,656.1,669.12,1521.0,backfill_api
