date,open,high,low,close,volume,source
2025-02-27,1846.0,1907.4,1844.0,1875.2,6974.0,backfill_api
2025-03-02,1900.0,1910.0,1846.0,1879.0,5466.0,backfill_api
2025-03-03,1879.0,1900.0,1807.0,1819.0,8422.0,backfill_api
2025-03-04,1800.0,1825.9,1735.0,1748.0,13445.0,backfill_api
2025-03-05,1765.0,1922.0,1734.0,1922.0,10975.0,backfill_api
2025-03-06,1884.0,2076.0,1810.0,1938.0,18980.0,backfill_api
2025-03-09,1899.3,1899.3,1840.0,1882.9,8203.0,backfill_api
2025-03-10,1846.0,1960.0,1796.0,1847.0,10060.0,backfill_api
2025-03-11,1883.9,1883.9,1748.0,1748.0,4400.0,backfill_api
2025-03-12,1760.0,1804.0,1716.0,1755.0,10875.0,backfill_api
2025-03-16,1727.1,1759.4,1692.5,1692.5,7383.0,backfill_api
2025-03-17,1658.7,1726.8,1658.7,1695.0,1468.0,backfill_api
2025-03-18,1700.0,1718.0,1671.0,1699.9,9809.0,backfill_api
2025-03-19,1672.1,1715.0,1672.1,1679.0,2365.0,backfill_api
2025-03-20,1712.0,1712.0,1691.0,1698.31,3132.0,backfill_api
2025-03-23,1731.0,1732.2,1656.0,1683.36,8143.0,backfill_api
2025-03-24,1655.0,1708.9,1655.0,1685.0,2298.0,backfill_api
2025-03-25,1670.0,1684.0,1615.0,1622.68,3351.0,backfill_api
2025-03-26,1650.0,1689.9,1638.5,1669.38,966.0,backfill_api
2025-03-27,1650.0,1704.9,1642.0,1694.28,2071.0,backfill_api
2025-03-30,1700.0,1710.0,1671.0,1680.32,6720.0,backfill_api
2025-04-01,1685.1,1686.0,1640.0,1645.18,3225.0,backfill_api
2025-04-02,1630.0,1698.0,1630.0,1659.88,1539.0,backfill_api
2025-04-03,1670.0,1678.0,1635.0,1640.05,4076.0,backfill_api
2025-04-07,1615.1,1780.0,1615.1,1740.26,2669.0,backfill_api
2025-04-08,1705.5,1705.5,1638.1,1659.92,4870.0,backfill_api
2025-04-09,1660.0,1760.0,1660.0,1688.8,2996.0,backfill_api
2025-04-10,1672.0,1827.0,1672.0,1732.06,8492.0,backfill_api
2025-04-13,1701.0,1800.0,1700.0,1727.75,3391.0,backfill_api
2025-04-15,1700.0,1795.0,1700.0,1708.77,2057.0,backfill_api
2025-04-16,1702.0,1777.0,1696.3,1759.91,6725.0,backfill_api
2025-04-17,1750.0,1794.9,1732.0,1757.62,1134.0,backfill_api
2025-04-20,1758.0,1815.0,1726.0,1809.27,12255.0,backfill_api
2025-04-21,1780.0,1861.0,1780.0,1844.71,12326.0,backfill_api
2025-04-22,1807.9,1920.0,1807.9,1893.25,10568.0,backfill_api
2025-04-23,1930.0,1930.0,1840.0,1855.88,8228.0,backfill_api
