date,open,high,low,close,volume,source
2026-06-22,300.0,345.0,300.0,345.0,140.0,backfill_api
2026-06-23,355.3,396.7,355.3,396.7,120.0,backfill_api
2026-06-24,408.6,456.2,408.6,456.2,190.0,backfill_api
2026-06-25,455.7,524.6,455.7,524.6,200.0,backfill_api
2026-06-26,540.3,603.2,540.3,603.2,350.0,backfill_api
2026-06-29,603.2,693.6,603.2,693.6,1150.0,backfill_api
2026-06-30,728.2,797.6,622.0,636.5,129250.0,backfill_api
2026-07-01,635.0,718.0,602.0,689.0,53491.0,backfill_api
2026-07-02,715.0,715.0,651.0,663.2,35070.0,backfill_api
2026-07-03,660.0,660.0,640.0,640.0,36650.0,backfill_api
2026-07-06,640.0,640.0,605.0,606.5,40245.0,backfill_api
2026-07-07,600.0,616.1,591.1,595.0,34422.0,backfill_api
2026-07-08,590.0,590.0,562.0,564.2,36973.0,backfill_api
2026-07-09,562.0,562.0,541.6,552.0,24730.0,backfill_api
2026-07-10,545.0,593.8,545.0,584.0,27399.0,backfill_api
2026-07-13,584.0,584.0,555.2,556.1,16850.0,backfill_api
2026-07-14,555.0,567.0,545.0,555.0,19747.0,backfill_api
2026-07-15,555.0,568.0,552.0,558.0,15696.0,backfill_api
2026-07-16,546.1,566.0,546.1,556.0,17544.0,backfill_api
2026-07-17,550.0,592.0,550.0,588.1,22304.0,backfill_api
2026-07-20,588.0,623.0,576.0,623.0,31396.0,backfill_api
2026-07-21,623.0,667.0,612.0,630.0,46790.0,backfill_api
2026-07-22,602.7,650.0,602.7,633.3,33068.0,backfill_api
2026-07-23,620.3,665.0,616.9,660.0,42420.0,daily_scrape
2026-07-24,693.0,693.0,643.2,655.0,40127.0,daily_scrape
2026-07-27,640.1,660.0,606.1,615.0,39992.0,daily_scrape
2026-07-28,645.7,649.8,593.1,642.0,56073.0,daily_scrape
2026-07-30,640.4,661.0,630.1,645.0,35977.0,daily_scrape
2026-07-31,630.2,654.7,622.3,644.0,28063.0,daily_scrape
2026-08-03,644.0,655.0,630.0,636.1,31529.0,daily_scrape
2026-08-04,627.1,635.0,615.0,617.0,24091.0,daily_scrape
2026-08-05,602.0,650.0,602.0,639.6,21179.0,daily_scrape
2026-08-06,639.6,670.0,617.1,639.7,47920.0,daily_scrape
2026-08-07,639.7,649.0,615.0,621.8,26605.0,daily_scrape
2026-08-10,620.0,639.0,612.1,624.0,17066.0,daily_scrape
2026-08-11,620.0,634.8,617.5,625.0,18870.0,daily_scrape
2026-08-12,612.0,630.0,612.0,626.0,22832.0,daily_scrape
2026-08-13,626.0,630.0,618.0,623.0,13280.0,daily_scrape
